episode,reward,loss
1,411.49999884375006,248226.796875
2,405.49999869375,199155.984375
3,741.6666635444444,802011.9375
4,305.5833318852431,182321.609375
5,828.9999958166668,567469.625
6,429.99999861355553,346588.9375
7,541.3333313532222,389614.8125
8,373.3333320822222,233435.734375
9,373.999998926,229279.28125
10,321.8333319076389,303425.84375
11,591.4999975825833,285476.9375
12,316.33333261555555,143309.40625
13,428.99999890000004,374025.53125
14,495.99999864700004,366419.90625
15,319.9999992505,162098.921875
16,270.99999928399995,103121.515625
17,304.8333325590278,230898.859375
18,451.83333199580557,347920.25
19,489.8333321666389,362930.75
20,415.6666654631111,347198.0625
21,554.6666651621111,475665.90625
22,477.66666506377777,387918.75
23,667.9999973933334,989486.4375
24,753.3333318222222,1006470.75
25,646.1666643636944,401719.75
26,389.33333236355554,215079.578125
27,956.9999962945001,1598977.75
28,669.9999973666667,851231.75
29,889.1666631756943,838062.875
30,504.9999982078333,286269.0
31,559.6666644977778,360118.625
32,594.6666646124445,616626.5625
33,1047.999994789,3540298.0
34,484.3333314162223,604472.6875
35,684.9999972791667,1109510.375
36,420.99999865000007,160982.140625
37,425.49999894275,217065.359375
38,455.99999839,391730.5625
39,211.33333269855555,69141.0859375
40,613.999997476,293930.84375
41,221.49999944324998,71563.453125
42,620.6666645351112,630478.5625
43,287.99999929850003,100565.890625
44,587.999998194,666141.0625
45,527.9999990066667,441229.6875
46,748.9999975865,686283.8125
47,296.33333254788886,118798.9765625
48,680.9999978625,757047.625
49,433.49999895291666,275650.34375
50,460.66666558494444,259357.671875
51,348.3333326075556,182328.984375
52,277.99999902400003,73844.0
53,303.83333241630555,66738.7578125
54,786.49999697425,1438981.5
55,1157.3333285305557,2087632.0
56,422.8333316993056,281546.78125
57,782.49999678125,1146633.375
58,840.3333300845555,845694.5625
59,254.33333274422225,78301.625
60,873.1666631215278,1543100.25
61,195.66666628827778,48843.60546875
62,886.9999960646667,855640.375
63,303.99999939466665,82204.40625
64,544.6666647486111,454099.25
65,879.3333295835556,1285540.0
66,466.66666457477777,449826.5625
67,650.9999974750001,322515.09375
68,611.6666649444444,397736.1875
69,283.83333249230554,102712.15625
70,608.9999974875,303112.78125
71,523.9999984608334,486845.40625
72,451.49999823025,232284.296875
73,511.3333315370555,271392.6875
74,649.49999723225,215074.0
75,903.9999961776666,1050125.625
76,520.6666645554445,307829.40625
77,631.9999979330001,348284.0
78,365.6666658954444,160503.609375
79,719.9999968333334,523041.59375
80,213.99999960399998,34621.9140625
81,315.83333280463887,94573.375
82,536.3333314055556,336542.75
83,901.9999970416667,1307667.75
84,587.8333314493055,654275.125
85,397.9999985125,254204.90625
86,264.8333325913056,60431.5
87,734.999997428,1168006.25
88,699.3333305722223,633846.0
89,688.4999970567501,908794.375
90,460.9999982185,128433.15625
91,853.3333295012221,465010.0625
92,454.66666536011115,330530.625
93,239.49999939375002,29734.501953125
94,387.49999897775,188389.21875
95,989.9999959156667,2131628.5
