episode,reward,loss
1,169.49999941224996,33943.8984375
2,766.499996392361,1769328.0
3,745.9999965000001,582713.25
4,701.6666638856112,805474.0
5,597.9999975116666,973057.1875
6,692.333330538889,910774.375
7,297.6666659177778,133290.453125
8,744.166663292361,1054957.125
9,473.49999667291667,135861.375
10,113.16666589930557,59016.77734375
11,671.99999755,761384.75
12,315.49999904525004,231081.65625
13,898.49999644375,1247839.875
14,397.49999845624995,121920.4375
15,230.999999427,75554.84375
16,798.4999969312502,494010.25
17,270.99999926975,129727.46875
18,479.49999814175,558164.3125
19,315.999998967,223329.5
20,444.3333320888888,276951.09375
21,478.33333171155556,275336.3125
22,523.4999983645833,461416.28125
23,704.4999976354167,746742.5625
24,431.99999899566666,218113.453125
25,664.49999755625,1097280.25
26,955.6666626352778,2292424.5
27,784.833330353139,1124212.75
28,508.6666644121111,427321.71875
29,252.99999891000004,31926.259765625
30,780.9999972360001,451359.4375
31,477.99999867500003,186933.0
32,273.3333326638889,161910.5625
33,507.49999774375004,630514.9375
34,796.999996451,583954.375
35,1025.833329370139,1601048.5
36,335.999999536,165244.625
37,288.99999972,86520.953125
38,691.3333305472223,980922.0625
39,481.999998681,405880.03125
40,708.9999973916666,659376.6875
41,620.3333313735556,780786.1875
42,575.3333310993888,364715.1875
43,406.99999889750006,204995.5
44,666.49999725625,935081.6875
45,240.66666605244444,86877.765625
46,332.66666576577774,97514.25
47,660.1666642598611,788736.375
48,316.99999906799997,167889.234375
49,448.49999855625,486208.40625
50,334.9999992075,149161.859375
51,588.49999820625,377122.09375
52,468.49999885625,273826.125
53,445.9999990625,280502.75
54,509.83333189097226,417226.46875
55,680.8333305746389,347534.34375
56,471.83333204263886,245585.921875
57,275.999999556,123879.453125
58,598.9999973596667,427531.46875
59,569.9999979958334,525075.0
60,415.6666654391111,138649.125
61,344.6666656057777,120125.390625
62,403.49999843475,143340.75
63,775.3333302562221,598855.0
64,613.3333314795556,399770.6875
65,523.3333317055556,551228.6875
66,687.1666647131945,502980.375
67,920.999995775,1617340.25
68,210.66666601111112,49756.44140625
69,817.9999967708334,1515886.875
70,360.9999990846667,139814.765625
71,600.49999754375,763395.75
72,624.4999976927501,845695.4375
73,1020.9999956749998,1416144.625
74,432.99999844750005,166180.484375
75,276.33333253822224,90783.9140625
76,201.83333308497222,49975.89453125
77,621.6666646777778,399561.46875
78,383.999998797,215372.109375
79,736.999997619,704856.0
80,855.6666632694446,491203.46875
81,1140.9999948916666,1143335.5
82,280.999999388,96276.5625
83,555.1666646820277,670519.625
84,323.1666656600277,108292.421875
85,376.49999913224997,221388.4375
86,809.9999972749999,1097940.875
87,497.6666651111111,369260.15625
88,354.49999969375,86875.15625
89,547.6666647271111,224926.421875
90,391.8333323114722,152365.5625
91,389.66666564444444,230051.78125
92,808.999996651,580025.5
93,658.999997119,268154.5625
94,556.3333317802222,488548.0
95,296.6666657944445,143477.0
96,827.9999969779999,768847.25
97,441.49999849824997,308051.09375
98,407.9999989916667,129021.0078125
99,573.6666653711112,242586.296875
100,330.33333251405554,112194.6484375
101,290.99999871200004,106776.2578125
102,364.99999873400003,105378.4453125
103,788.999996641,1307585.375
104,189.999999732,28189.0625
105,1018.6666625527778,1440808.5
106,671.3333304362224,704926.375
107,654.9999975999999,702803.1875
108,752.999997375,450275.34375
109,1116.6666619777777,1334685.125
110,609.9999983875,516106.84375
111,568.9999981943333,198331.34375
112,432.49999880141667,212609.3125
113,474.49999911875,194692.40625
114,425.9999991375,223633.953125
115,472.33333181122225,170251.96875
116,836.3333301138889,568026.9375
117,839.9999966041665,918325.0625
118,371.8333325659723,76738.609375
119,501.6666649986111,191501.9375
120,345.6666660861111,146099.609375
121,841.3333301013889,1412912.875
122,519.3333321995556,191594.90625
123,436.99999852800005,90882.28125
124,513.4999981729167,319502.875
125,460.99999855833335,235885.859375
126,712.3333301465555,615642.25
127,430.49999881458336,93764.265625
128,908.9999959050001,484253.0
129,402.99999903950004,129503.703125
130,516.9999990666668,171640.84375
131,365.99999896950004,86925.109375
132,518.999998275,172570.390625
133,429.3333322722222,174453.28125
134,538.9999986386667,322822.625
135,739.3333306055556,422216.03125
136,357.99999937499996,73041.453125
137,797.999996524,522563.59375
138,386.49999913125004,98293.1171875
139,241.6666661121111,31122.490234375
140,267.6666660911111,25266.166015625
141,749.3333301888889,459770.25
142,598.8333315311388,392095.09375
143,398.999998774,133660.671875
144,167.99999974099998,25568.154296875
145,470.49999875975,202852.609375
146,961.999995825,1007403.375
147,647.8333306409722,339937.46875
148,353.66666579177775,43331.26171875
149,361.3333320498889,34962.859375
150,740.999996627,444749.375
151,435.9999987765,94186.703125
152,705.49999702675,224621.390625
153,336.49999910025,76830.265625
