episode,step,action,distribution,available_computation_units,remain_epochs,mec_comp_units_sum,mec_comp_units_nonzero,mec_proc_times_sum,mec_proc_times_nonzero,queue_comp_units,queue_proc_times,local_success,offload_success,ctx_vel_sum,ctx_vel_nonzero,ctx_comp_sum,ctx_comp_nonzero,reward,env_max_comp_units,env_agent_velocities
0,0,1,"[0.6033328771591187, 0.2566174268722534, 0.14004969596862793]",1.0,1.0,0.0,0,0.0,0,0.325,0.84,0,0,0.0,0,1.0,1,0.0,200,20
0,1,0,"[0.5206419825553894, 0.3121514618396759, 0.16720658540725708]",1.0,0.99,0.0,0,0.0,0,0.135,0.1,0,1,0.0,0,1.0,1,0.0,200,20
0,2,1,"[0.5135151743888855, 0.3331371545791626, 0.1533476710319519]",0.865,0.98,0.135,1,0.08,1,0.7,0.94,1,1,0.0,0,1.0,1,0.0,200,20
0,3,0,"[0.5185194611549377, 0.3254982829093933, 0.15598225593566895]",0.865,0.97,0.135,1,0.06,1,0.605,0.96,1,0,0.0,0,1.0,1,0.0,200,20
0,4,2,"[0.499250590801239, 0.32704219222068787, 0.17370723187923431]",0.26,0.96,0.74,2,0.98,2,0.63,0.12,1,0,0.0,0,1.0,1,0.0,200,20
0,5,1,"[0.49567797780036926, 0.3398100733757019, 0.1645120084285736]",0.26,0.95,0.74,2,0.9400000000000001,2,0.765,0.98,1,0,0.0,0,1.0,1,1.35,200,20
0,6,0,"[0.5352985858917236, 0.3176732063293457, 0.1470281481742859]",0.395,0.94,0.605,1,0.9,1,0.755,0.48,1,0,0.0,0,1.0,1,0.0,200,20
0,7,0,"[0.5267040133476257, 0.3157549798488617, 0.15754100680351257]",0.395,0.93,0.605,1,0.88,1,0.09,0.76,0,0,0.0,0,1.0,1,0.0,200,20
0,8,0,"[0.5377731919288635, 0.3154900372028351, 0.14673683047294617]",0.305,0.92,0.695,2,1.6,2,0.255,0.26,1,0,0.0,0,1.0,1,0.0,200,20
0,9,1,"[0.5226496458053589, 0.3226841688156128, 0.15466617047786713]",0.05,0.91,0.95,3,1.8,3,0.97,0.08,1,0,0.0,0,1.0,1,0.0,200,20
0,10,0,"[0.5193246006965637, 0.33286213874816895, 0.14781324565410614]",0.05,0.9,0.95,3,1.74,3,0.765,0.94,1,1,0.0,0,1.0,1,0.0,200,20
0,11,0,"[0.5150365233421326, 0.3306657373905182, 0.15429779887199402]",0.05,0.89,0.95,3,1.68,3,0.605,0.94,0,1,0.0,0,1.0,1,0.0,200,20
0,12,0,"[0.5179963111877441, 0.3234272599220276, 0.15857641398906708]",0.05,0.88,0.95,3,1.6199999999999999,3,0.415,0.44,0,1,0.0,0,1.0,1,9.700000000000001,200,20
0,13,1,"[0.5191977620124817, 0.320824533700943, 0.15997765958309174]",0.05,0.87,0.95,3,1.5599999999999998,3,0.335,0.28,0,1,0.0,0,1.0,1,0.0,200,20
0,14,1,"[0.5193597078323364, 0.3244123160839081, 0.1562279462814331]",0.05,0.86,0.95,3,1.5,3,0.93,0.76,0,0,0.0,0,1.0,1,0.0,200,20
0,15,0,"[0.5175119638442993, 0.32090866565704346, 0.16157934069633484]",0.05,0.85,0.95,3,1.44,3,0.21,0.88,0,0,0.0,0,1.0,1,0.0,200,20
0,16,1,"[0.5207073092460632, 0.319396048784256, 0.1598966419696808]",0.05,0.84,0.95,3,1.38,3,0.835,0.56,0,0,0.0,0,1.0,1,0.0,200,20
0,17,0,"[0.5246735215187073, 0.318219393491745, 0.1571071296930313]",0.05,0.83,0.95,3,1.3200000000000003,3,0.98,0.18,0,1,0.0,0,1.0,1,0.0,200,20
0,18,0,"[0.5213019847869873, 0.3177494704723358, 0.16094861924648285]",0.05,0.82,0.95,3,1.2600000000000002,3,0.375,0.38,0,1,0.0,0,1.0,1,0.0,200,20
0,19,1,"[0.5231093764305115, 0.31789109110832214, 0.15899953246116638]",0.05,0.81,0.95,3,1.2000000000000002,3,0.735,0.34,0,1,0.0,0,1.0,1,0.0,200,20
0,20,0,"[0.5176839828491211, 0.32069939374923706, 0.16161666810512543]",0.05,0.8,0.95,3,1.1400000000000001,3,0.07,0.88,0,1,0.0,0,1.0,1,2.5500000000000003,200,20
0,21,0,"[0.5358147025108337, 0.30855289101600647, 0.15563246607780457]",0.305,0.79,0.695,2,1.08,2,0.085,0.18,0,1,0.0,0,1.0,1,0.0,200,20
0,22,0,"[0.534356951713562, 0.31415578722953796, 0.15148727595806122]",0.22,0.78,0.7799999999999999,3,1.2,3,0.57,0.2,1,1,0.0,0,1.0,1,0.0,200,20
0,23,1,"[0.5281275510787964, 0.31676122546195984, 0.15511120855808258]",0.22,0.77,0.7799999999999999,3,1.1400000000000001,3,0.495,0.6,0,1,0.0,0,1.0,1,0.0,200,20
0,24,0,"[0.5339848399162292, 0.30583128333091736, 0.16018393635749817]",0.22,0.76,0.7799999999999999,3,1.08,3,0.92,0.02,0,0,0.0,0,1.0,1,0.0,200,20
0,25,0,"[0.5322622656822205, 0.3086290657520294, 0.15910863876342773]",0.22,0.75,0.7799999999999999,3,1.02,3,0.67,0.42,0,0,0.0,0,1.0,1,0.0,200,20
0,26,0,"[0.5327976942062378, 0.30088162422180176, 0.16632066667079926]",0.22,0.74,0.7799999999999999,3,0.96,3,0.235,0.08,0,0,0.0,0,1.0,1,0.0,200,20
0,27,1,"[0.5332719087600708, 0.29936712980270386, 0.16736091673374176]",0.22,0.73,0.7799999999999999,3,0.8999999999999999,3,0.12,0.1,0,0,0.0,0,1.0,1,0.0,200,20
