episode,step,action,distribution,available_computation_units,channel_quality,remain_epochs,mec_comp_units_sum,mec_comp_units_nonzero,mec_proc_times_sum,mec_proc_times_nonzero,queue_comp_units,queue_proc_times,local_success,offload_success,ctx_vel_sum,ctx_vel_nonzero,ctx_comp_sum,ctx_comp_nonzero,reward,env_max_comp_units,env_agent_velocities
0,0,0,"[0.7457252740859985, 0.03818164020776749, 0.21609310805797577]",1.0,0,1.0,0.0,0,0.0,0,0.7402597402597403,0.5,0,0,0.2857142984867096,1,0.6416666507720947,1,-10.0,77,50
0,1,0,"[0.4824281930923462, 0.004420769866555929, 0.5131509900093079]",0.2597402597402597,1,0.99,0.7402597402597403,1,0.4,1,0.8831168831168831,0.8,1,0,0.2857142984867096,1,0.6416666507720947,1,-12.0,77,50
0,2,2,"[0.33115285634994507, 0.007522132713347673, 0.6613249778747559]",0.2597402597402597,1,0.98,0.7402597402597403,1,0.3,1,0.19480519480519481,0.9,0,0,0.2857142984867096,1,0.6416666507720947,1,-2.0,77,50
0,3,2,"[0.11267548054456711, 0.0016492984723299742, 0.8856751918792725]",0.2597402597402597,0,0.97,0.7402597402597403,1,0.2,1,0.45454545454545453,0.2,0,0,0.2857142984867096,1,0.6416666507720947,1,-2.0,77,50
0,4,2,"[0.04992108419537544, 0.0005166834453120828, 0.9495621919631958]",0.2597402597402597,1,0.96,0.7402597402597403,1,0.1,1,0.025974025974025976,0.3,0,0,0.2857142984867096,1,0.6416666507720947,1,55.0,77,50
0,5,0,"[0.883780837059021, 0.06398843228816986, 0.05223076045513153]",1.0,1,0.95,0.0,0,0.0,0,0.6363636363636364,0.9,0,0,0.2857142984867096,1,0.6416666507720947,1,-10.0,77,50
0,6,0,"[0.8264865875244141, 0.07702181488275528, 0.09649161994457245]",0.36363636363636365,1,0.94,0.6363636363636364,1,0.8,1,0.7272727272727273,0.5,1,0,0.2857142984867096,1,0.6416666507720947,1,-12.0,77,50
0,7,2,"[0.6487054228782654, 0.17547763884067535, 0.17581690847873688]",0.36363636363636365,1,0.93,0.6363636363636364,1,0.7,1,0.05194805194805195,0.3,0,0,0.2857142984867096,1,0.6416666507720947,1,-2.0,77,50
0,8,2,"[0.6183971762657166, 0.17297329008579254, 0.20862950384616852]",0.36363636363636365,1,0.92,0.6363636363636364,1,0.6,1,0.23376623376623376,0.3,0,0,0.2857142984867096,1,0.6416666507720947,1,-2.0,77,50
0,9,1,"[0.579780101776123, 0.20860759913921356, 0.21161234378814697]",0.36363636363636365,0,0.91,0.6363636363636364,1,0.5,1,0.4025974025974026,0.9,0,0,0.2857142984867096,1,0.6416666507720947,1,-12.0,77,50
0,10,0,"[0.6620964407920837, 0.09742729365825653, 0.2404763549566269]",0.36363636363636365,0,0.9,0.6363636363636364,1,0.4,1,0.7142857142857143,0.6,0,0,0.2857142984867096,1,0.6416666507720947,1,-12.0,77,50
0,11,2,"[0.6296802759170532, 0.057614631950855255, 0.3127051293849945]",0.36363636363636365,1,0.89,0.6363636363636364,1,0.3,1,0.35064935064935066,0.2,0,0,0.2857142984867096,1,0.6416666507720947,1,-2.0,77,50
0,12,0,"[0.6021592020988464, 0.08823228627443314, 0.3096083998680115]",0.36363636363636365,1,0.88,0.6363636363636364,1,0.2,1,0.5194805194805194,0.7,0,0,0.2857142984867096,1,0.6416666507720947,1,-12.0,77,50
0,13,2,"[0.5375704765319824, 0.04376738891005516, 0.4186621308326721]",0.36363636363636365,0,0.87,0.6363636363636364,1,0.1,1,0.6493506493506493,0.2,0,0,0.2857142984867096,1,0.6416666507720947,1,47.0,77,50
0,14,0,"[0.4453541338443756, 0.5106045007705688, 0.044041380286216736]",1.0,1,0.86,0.0,0,0.0,0,0.987012987012987,1.0,0,0,0.2857142984867096,1,0.6416666507720947,1,-10.0,77,50
0,15,0,"[0.7343341112136841, 0.1981162130832672, 0.06754960119724274]",0.012987012987012988,1,0.85,0.987012987012987,1,0.9,1,0.14285714285714285,0.3,1,0,0.2857142984867096,1,0.6416666507720947,1,-12.0,77,50
0,16,0,"[0.8017517328262329, 0.09060399234294891, 0.10764431953430176]",0.012987012987012988,0,0.84,0.987012987012987,1,0.8,1,0.2987012987012987,0.6,0,0,0.2857142984867096,1,0.6416666507720947,1,-12.0,77,50
0,17,0,"[0.7518183588981628, 0.031947918236255646, 0.2162337452173233]",0.012987012987012988,1,0.83,0.987012987012987,1,0.7,1,0.8571428571428571,0.2,0,0,0.2857142984867096,1,0.6416666507720947,1,-12.0,77,50
0,18,0,"[0.5882905125617981, 0.060731831938028336, 0.35097765922546387]",0.012987012987012988,1,0.82,0.987012987012987,1,0.6,1,0.15584415584415584,0.7,0,0,0.2857142984867096,1,0.6416666507720947,1,-12.0,77,50
0,19,1,"[0.5037602186203003, 0.044338423758745193, 0.451901376247406]",0.012987012987012988,0,0.81,0.987012987012987,1,0.5,1,0.37662337662337664,0.5,0,0,0.2857142984867096,1,0.6416666507720947,1,-12.0,77,50
0,20,2,"[0.42522183060646057, 0.02004273049533367, 0.5547354817390442]",0.012987012987012988,0,0.8,0.987012987012987,1,0.4,1,0.8831168831168831,0.5,0,0,0.2857142984867096,1,0.6416666507720947,1,-2.0,77,50
0,21,2,"[0.2794162631034851, 0.0070404610596597195, 0.7135432362556458]",0.012987012987012988,1,0.79,0.987012987012987,1,0.3,1,0.7532467532467533,0.2,0,0,0.2857142984867096,1,0.6416666507720947,1,-2.0,77,50
