model,worker_id,trained_on,test_env,env_type,mean_reward,std_reward
A3C_Global,Global,All (80-200),50,Unseen,0.8716000000000131,0.1590485460480537
A3C_Global,Global,All (80-200),80,Seen,0.8951000000000131,0.17023657068914366
A3C_Global,Global,All (80-200),95,Unseen,0.884900000000013,0.17567154009685143
A3C_Global,Global,All (80-200),110,Seen,0.9004000000000133,0.1945606332226531
A3C_Global,Global,All (80-200),125,Unseen,0.8716000000000128,0.15760532985911357
A3C_Global,Global,All (80-200),140,Seen,0.8896000000000127,0.11138599552906069
A3C_Global,Global,All (80-200),155,Unseen,0.8426000000000129,0.16352137474960204
A3C_Global,Global,All (80-200),170,Seen,0.9062000000000132,0.18341635695869635
A3C_Global,Global,All (80-200),185,Unseen,0.8939000000000131,0.19713267106190152
A3C_Global,Global,All (80-200),200,Seen,0.8703000000000132,0.1623835274897052
A3C_Global,Global,All (80-200),220,Unseen,0.885300000000013,0.19335307083157433
Individual_W0,0,80,50,Unseen,0.8887000000000133,0.17548165146248146
Individual_W0,0,80,80,Seen,0.9336000000000126,0.19450460148798437
Individual_W0,0,80,95,Unseen,0.8403000000000133,0.126808556493637
Individual_W0,0,80,110,Seen,0.8779000000000134,0.17489736990589597
Individual_W0,0,80,125,Unseen,0.8437000000000131,0.16842746213132778
Individual_W0,0,80,140,Seen,0.8776000000000131,0.16716231632757417
Individual_W0,0,80,155,Unseen,0.8488000000000129,0.16579372726372962
Individual_W0,0,80,170,Seen,0.8840000000000132,0.17394539373033105
Individual_W0,0,80,185,Unseen,0.8779000000000127,0.1830002459014739
Individual_W0,0,80,200,Seen,0.8759000000000128,0.16296530305558876
Individual_W0,0,80,220,Unseen,0.8456000000000136,0.15106501911428696
Individual_W1,1,110,50,Unseen,0.9191000000000129,0.16616464726288774
Individual_W1,1,110,80,Seen,0.8691000000000132,0.17431491617185194
Individual_W1,1,110,95,Unseen,0.9074000000000133,0.17088955497630592
Individual_W1,1,110,110,Seen,0.9036000000000134,0.19202874784781523
Individual_W1,1,110,125,Unseen,0.9078000000000129,0.19039212168574599
Individual_W1,1,110,140,Seen,0.8700000000000133,0.17152842330062912
Individual_W1,1,110,155,Unseen,0.8801000000000129,0.1793334603469185
Individual_W1,1,110,170,Seen,0.8552000000000131,0.19098680582699898
Individual_W1,1,110,185,Unseen,0.8582000000000127,0.18379270932221375
Individual_W1,1,110,200,Seen,0.8659000000000128,0.18244366253723293
Individual_W1,1,110,220,Unseen,0.8663000000000133,0.14937473012527847
Individual_W2,2,140,50,Unseen,0.8999000000000131,0.19222250128431867
Individual_W2,2,140,80,Seen,0.8955000000000131,0.13893613640806302
Individual_W2,2,140,95,Unseen,0.911900000000013,0.16667600307182714
Individual_W2,2,140,110,Seen,0.8815000000000132,0.17449713464696212
Individual_W2,2,140,125,Unseen,0.9117000000000131,0.1608527587578149
Individual_W2,2,140,140,Seen,0.8774000000000131,0.16179999999999958
Individual_W2,2,140,155,Unseen,0.8775000000000128,0.17410987909937717
Individual_W2,2,140,170,Seen,0.8562000000000133,0.16620637773563282
Individual_W2,2,140,185,Unseen,0.8345000000000132,0.15335335014273363
Individual_W2,2,140,200,Seen,0.8702000000000136,0.17727086619069635
Individual_W2,2,140,220,Unseen,0.866800000000013,0.1498991661084206
Individual_W3,3,170,50,Unseen,0.9309000000000132,0.19124771894064427
Individual_W3,3,170,80,Seen,0.9092000000000131,0.17589587829167547
Individual_W3,3,170,95,Unseen,0.8790000000000131,0.16672432336044996
Individual_W3,3,170,110,Seen,0.8359000000000133,0.1416604743744701
Individual_W3,3,170,125,Unseen,0.8657000000000127,0.1774429767559142
Individual_W3,3,170,140,Seen,0.8966000000000129,0.16978350921099486
Individual_W3,3,170,155,Unseen,0.9023000000000134,0.18876495967207405
Individual_W3,3,170,170,Seen,0.883600000000013,0.17418105522702498
Individual_W3,3,170,185,Unseen,0.8920000000000131,0.17399999999999946
Individual_W3,3,170,200,Seen,0.8559000000000135,0.17323016480971162
Individual_W3,3,170,220,Unseen,0.8658000000000134,0.16199493819252453
Individual_W4,4,200,50,Unseen,0.9032000000000133,0.17838934945786364
Individual_W4,4,200,80,Seen,0.8613000000000136,0.17013762076624905
Individual_W4,4,200,95,Unseen,0.8789000000000136,0.1685831842147959
Individual_W4,4,200,110,Seen,0.9094000000000136,0.1824901093210256
Individual_W4,4,200,125,Unseen,0.8825000000000129,0.17726322235590758
Individual_W4,4,200,140,Seen,0.824100000000013,0.15703085684030377
Individual_W4,4,200,155,Unseen,0.908900000000013,0.1817423726047394
Individual_W4,4,200,170,Seen,0.894500000000013,0.19194074606502862
Individual_W4,4,200,185,Unseen,0.9143000000000129,0.16609337735141597
Individual_W4,4,200,200,Seen,0.8814000000000125,0.19533827069982918
Individual_W4,4,200,220,Unseen,0.8681000000000132,0.16805323561300423
