episode,step,action,distribution,available_computation_units,remain_epochs,mec_comp_units_sum,mec_comp_units_nonzero,mec_proc_times_sum,mec_proc_times_nonzero,queue_comp_units,queue_proc_times,local_success,offload_success,ctx_vel_sum,ctx_vel_nonzero,ctx_comp_sum,ctx_comp_nonzero,reward,env_max_comp_units,env_agent_velocities
0,0,1,"[0.4393171966075897, 0.2943500578403473, 0.2663327753543854]",1.0,1.0,0.0,0,0.0,0,0.8279569892473119,1.0,0,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,1,1,"[0.28773656487464905, 0.6053141355514526, 0.10694924741983414]",1.0,0.99,0.0,0,0.0,0,1.064516129032258,0.2,0,1,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,2,1,"[0.28558439016342163, 0.610619068145752, 0.1037965714931488]",1.0,0.98,0.0,0,0.0,0,1.5053763440860215,0.4,0,1,0.5571428537368774,1,0.7749999761581421,1,0.98,93,69
0,3,0,"[0.2841528654098511, 0.6126295924186707, 0.10321753472089767]",1.0,0.97,0.0,0,0.0,0,1.021505376344086,0.2,0,1,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,4,2,"[0.28643128275871277, 0.6093225479125977, 0.10424619168043137]",1.0,0.96,0.0,0,0.0,0,1.6666666666666667,0.9,0,1,0.5571428537368774,1,0.7749999761581421,1,-0.05,93,69
0,5,1,"[0.28497233986854553, 0.6115421056747437, 0.1034855842590332]",1.0,0.95,0.0,0,0.0,0,1.3333333333333333,0.3,0,1,0.5571428537368774,1,0.7749999761581421,1,1.28,93,69
0,6,0,"[0.28242629766464233, 0.6145532727241516, 0.10302048176527023]",1.0,0.94,0.0,0,0.0,0,0.12903225806451613,0.6,0,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,7,1,"[0.2865352928638458, 0.6095705628395081, 0.10389426350593567]",0.8709677419354839,0.93,0.12903225806451613,1,0.5,1,2.021505376344086,0.5,1,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,8,1,"[0.2836889624595642, 0.6131888031959534, 0.10312224924564362]",0.8709677419354839,0.92,0.12903225806451613,1,0.4,1,0.46236559139784944,0.5,1,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,9,0,"[0.2856237292289734, 0.610508382320404, 0.10386792570352554]",0.8709677419354839,0.91,0.12903225806451613,1,0.3,1,1.096774193548387,0.8,1,1,0.5571428537368774,1,0.7749999761581421,1,0.62,93,69
0,10,0,"[0.2865716814994812, 0.6091237664222717, 0.10430458188056946]",0.8709677419354839,0.9,0.12903225806451613,1,0.2,1,1.924731182795699,0.8,0,1,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,11,1,"[0.2860119938850403, 0.6098867058753967, 0.10410129278898239]",0.8709677419354839,0.89,0.12903225806451613,1,0.1,1,1.6666666666666667,0.7,0,1,0.5571428537368774,1,0.7749999761581421,1,0.02,93,69
0,12,1,"[0.28414255380630493, 0.6128209233283997, 0.10303644835948944]",1.0,0.88,0.0,0,0.0,0,1.2580645161290323,0.2,0,0,0.5571428537368774,1,0.7749999761581421,1,0.305,93,69
0,13,1,"[0.2835279107093811, 0.613664984703064, 0.10280714184045792]",1.0,0.87,0.0,0,0.0,0,1.053763440860215,0.2,0,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,14,1,"[0.2855006456375122, 0.6108301281929016, 0.10366926342248917]",1.0,0.86,0.0,0,0.0,0,1.5053763440860215,0.6,0,1,0.5571428537368774,1,0.7749999761581421,1,0.87,93,69
0,15,1,"[0.2851276099681854, 0.6115496754646301, 0.10332266986370087]",1.0,0.85,0.0,0,0.0,0,1.6774193548387097,0.3,0,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,16,1,"[0.28499630093574524, 0.611835777759552, 0.10316795855760574]",1.0,0.84,0.0,0,0.0,0,1.7204301075268817,0.1,0,1,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,17,1,"[0.2850020229816437, 0.6116913557052612, 0.10330665111541748]",1.0,0.83,0.0,0,0.0,0,1.5591397849462365,0.4,0,0,0.5571428537368774,1,0.7749999761581421,1,1.545,93,69
0,18,1,"[0.2808622121810913, 0.6169506311416626, 0.10218711197376251]",1.0,0.82,0.0,0,0.0,0,0.08602150537634409,0.2,0,1,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,19,1,"[0.2858959436416626, 0.6102860569953918, 0.10381799936294556]",1.0,0.81,0.0,0,0.0,0,1.6774193548387097,0.9,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,20,1,"[0.285505473613739, 0.611201822757721, 0.10329275578260422]",1.0,0.8,0.0,0,0.0,0,2.032258064516129,0.2,0,0,0.5571428537368774,1,0.7749999761581421,1,1.33,93,69
0,21,0,"[0.2849730849266052, 0.6117847561836243, 0.10324212908744812]",1.0,0.79,0.0,0,0.0,0,1.5913978494623655,0.4,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,22,0,"[0.2829448878765106, 0.6142735481262207, 0.10278160125017166]",1.0,0.78,0.0,0,0.0,0,0.6559139784946236,0.5,0,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,23,1,"[0.28507542610168457, 0.6107404232025146, 0.10418419539928436]",0.34408602150537637,0.77,0.6559139784946236,1,0.4,1,1.2365591397849462,1.0,1,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,24,0,"[0.28072690963745117, 0.6159808039665222, 0.10329227894544601]",0.34408602150537637,0.76,0.6559139784946236,1,0.3,1,0.07526881720430108,0.4,1,1,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,25,1,"[0.2859259247779846, 0.6096288561820984, 0.10444515198469162]",0.26881720430107525,0.75,0.7311827956989247,2,0.5,2,1.8172043010752688,0.9,1,1,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,26,1,"[0.2858753502368927, 0.6098054647445679, 0.10431919991970062]",0.26881720430107525,0.74,0.7311827956989247,2,0.30000000000000004,2,2.086021505376344,0.7,1,0,0.5571428537368774,1,0.7749999761581421,1,0.51,93,69
0,27,2,"[0.28533247113227844, 0.6114317774772644, 0.10323568433523178]",0.9247311827956989,0.73,0.07526881720430108,1,0.1,1,1.5913978494623655,0.5,1,0,0.5571428537368774,1,0.7749999761581421,1,0.02,93,69
0,28,1,"[0.2820664942264557, 0.6159828901290894, 0.10195057839155197]",1.0,0.72,0.0,0,0.0,0,0.43010752688172044,0.3,1,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,29,2,"[0.28523677587509155, 0.6117514371871948, 0.10301173478364944]",1.0,0.71,0.0,0,0.0,0,1.6236559139784945,0.5,1,0,0.5571428537368774,1,0.7749999761581421,1,-0.05,93,69
0,30,2,"[0.2851182818412781, 0.6118206977844238, 0.10306107997894287]",1.0,0.7,0.0,0,0.0,0,1.4301075268817205,0.6,1,0,0.5571428537368774,1,0.7749999761581421,1,-0.05,93,69
0,31,0,"[0.2840854525566101, 0.6131155490875244, 0.10279902815818787]",1.0,0.69,0.0,0,0.0,0,0.8494623655913979,0.7,1,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,32,0,"[0.2839687168598175, 0.6121172904968262, 0.10391402989625931]",0.15053763440860216,0.68,0.8494623655913979,1,0.6,1,1.1935483870967742,0.7,1,0,0.5571428537368774,1,0.7749999761581421,1,1.0,93,69
0,33,1,"[0.2797689437866211, 0.6164970993995667, 0.10373400151729584]",0.15053763440860216,0.67,0.8494623655913979,1,0.5,1,0.17204301075268819,0.7,0,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,34,1,"[0.2831748127937317, 0.6125206351280212, 0.10430452227592468]",0.15053763440860216,0.66,0.8494623655913979,1,0.4,1,0.8602150537634409,1.0,0,1,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,35,1,"[0.2848949134349823, 0.6108404994010925, 0.1042645126581192]",0.15053763440860216,0.65,0.8494623655913979,1,0.3,1,2.139784946236559,0.5,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,36,1,"[0.2829960882663727, 0.6128191947937012, 0.10418471693992615]",0.15053763440860216,0.64,0.8494623655913979,1,0.2,1,1.1612903225806452,0.8,0,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,37,1,"[0.2840024530887604, 0.6116808652877808, 0.1043165922164917]",0.15053763440860216,0.63,0.8494623655913979,1,0.1,1,1.4516129032258065,0.8,0,1,0.5571428537368774,1,0.7749999761581421,1,0.6900000000000001,93,69
0,38,1,"[0.28316009044647217, 0.6146320104598999, 0.10220788419246674]",1.0,0.62,0.0,0,0.0,0,1.3655913978494623,0.1,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,39,0,"[0.2804214358329773, 0.6177635788917542, 0.10181498527526855]",1.0,0.61,0.0,0,0.0,0,0.15053763440860216,0.5,0,0,0.5571428537368774,1,0.7749999761581421,1,0.125,93,69
0,40,0,"[0.28613752126693726, 0.6102856397628784, 0.10357685387134552]",0.8494623655913979,0.6,0.15053763440860216,1,0.4,1,1.89247311827957,0.9,1,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,41,1,"[0.28397297859191895, 0.6129409670829773, 0.10308599472045898]",0.8494623655913979,0.59,0.15053763440860216,1,0.3,1,1.1290322580645162,0.7,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,42,0,"[0.2832792103290558, 0.6141717433929443, 0.10254897177219391]",0.8494623655913979,0.58,0.15053763440860216,1,0.2,1,1.3225806451612903,0.3,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,43,1,"[0.28102776408195496, 0.6169885396957397, 0.10198373347520828]",0.8494623655913979,0.57,0.15053763440860216,1,0.1,1,0.6559139784946236,0.3,0,0,0.5571428537368774,1,0.7749999761581421,1,1.08,93,69
0,44,0,"[0.2854531407356262, 0.6112294793128967, 0.10331740975379944]",1.0,0.56,0.0,0,0.0,0,1.7526881720430108,0.9,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,45,1,"[0.28554168343544006, 0.61137455701828, 0.10308375209569931]",1.0,0.55,0.0,0,0.0,0,2.118279569892473,0.5,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,46,0,"[0.28235480189323425, 0.6151900291442871, 0.10245513916015625]",1.0,0.54,0.0,0,0.0,0,0.5053763440860215,0.8,0,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,47,1,"[0.2798228859901428, 0.6184309124946594, 0.10174623876810074]",0.4946236559139785,0.53,0.5053763440860215,1,0.7,1,0.43010752688172044,0.1,1,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,48,1,"[0.28532329201698303, 0.6113710999488831, 0.10330565273761749]",0.4946236559139785,0.52,0.5053763440860215,1,0.6,1,2.043010752688172,0.5,1,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,49,0,"[0.2784644365310669, 0.6199687719345093, 0.10156673938035965]",0.4946236559139785,0.51,0.5053763440860215,1,0.5,1,0.17204301075268819,0.1,1,0,0.5571428537368774,1,0.7749999761581421,1,0.16,93,69
0,50,1,"[0.28443390130996704, 0.6121878623962402, 0.10337819159030914]",0.4946236559139785,0.5,0.5053763440860215,1,0.4,1,1.3548387096774193,0.9,1,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,51,0,"[0.2797255516052246, 0.6181262731552124, 0.10214823484420776]",0.4946236559139785,0.49,0.5053763440860215,1,0.3,1,0.17204301075268819,0.5,1,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,52,0,"[0.2818351686000824, 0.6153932809829712, 0.10277148336172104]",0.3225806451612903,0.48,0.6774193548387097,2,0.6000000000000001,2,0.8817204301075269,0.6,1,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,53,1,"[0.27564889192581177, 0.622617781162262, 0.10173335671424866]",0.3225806451612903,0.47,0.6774193548387097,2,0.4,2,0.21505376344086022,0.1,0,0,0.5571428537368774,1,0.7749999761581421,1,0.37,93,69
