episode,step,action,distribution,available_computation_units,remain_epochs,mec_comp_units_sum,mec_comp_units_nonzero,mec_proc_times_sum,mec_proc_times_nonzero,queue_comp_units,queue_proc_times,local_success,offload_success,ctx_vel_sum,ctx_vel_nonzero,ctx_comp_sum,ctx_comp_nonzero,reward,env_max_comp_units,env_agent_velocities
0,0,0,"[0.6881127953529358, 0.2564348876476288, 0.05545239523053169]",1.0,1.0,0.0,0,0.0,0,0.195,0.12,0,0,0.0,0,1.0,1,0.0,200,12
0,1,1,"[0.5563826560974121, 0.3317805528640747, 0.11183671653270721]",0.805,0.99,0.195,1,0.1,1,0.12,0.98,1,0,0.0,0,1.0,1,0.0,200,12
0,2,1,"[0.6080414652824402, 0.27848830819129944, 0.11347021162509918]",0.805,0.98,0.195,1,0.08,1,0.05,0.18,1,0,0.0,0,1.0,1,0.0,200,12
0,3,0,"[0.6774632334709167, 0.2122582644224167, 0.11027845740318298]",0.805,0.97,0.195,1,0.06,1,0.87,0.3,1,0,0.0,0,1.0,1,0.0,200,12
0,4,0,"[0.6503209471702576, 0.24087172746658325, 0.10880734771490097]",0.805,0.96,0.195,1,0.04,1,0.575,0.06,0,0,0.0,0,1.0,1,0.0,200,12
0,5,0,"[0.5651480555534363, 0.2771756947040558, 0.15767624974250793]",0.23,0.95,0.77,2,0.06,2,0.925,0.64,1,0,0.0,0,1.0,1,1.9500000000000002,200,12
0,6,1,"[0.5298844575881958, 0.322759747505188, 0.14735578000545502]",0.425,0.94,0.575,1,0.02,1,0.01,0.36,0,0,0.0,0,1.0,1,5.75,200,12
0,7,1,"[0.6571109294891357, 0.22774077951908112, 0.11514829844236374]",1.0,0.93,0.0,0,0.0,0,0.695,0.64,0,0,0.0,0,1.0,1,0.0,200,12
0,8,0,"[0.6876574754714966, 0.20398835837841034, 0.1083541214466095]",1.0,0.92,0.0,0,0.0,0,0.98,0.04,0,0,0.0,0,1.0,1,0.0,200,12
0,9,0,"[0.607780933380127, 0.23190921545028687, 0.16030985116958618]",0.02,0.91,0.98,1,0.02,1,0.78,0.32,1,0,0.0,0,1.0,1,9.8,200,12
0,10,0,"[0.6759507656097412, 0.20762355625629425, 0.11642570048570633]",1.0,0.9,0.0,0,0.0,0,0.62,0.5,0,0,0.0,0,1.0,1,0.0,200,12
0,11,2,"[0.6808508634567261, 0.1804722547531128, 0.13867689669132233]",0.38,0.89,0.62,1,0.48,1,0.875,0.1,1,0,0.0,0,1.0,1,0.0,200,12
0,12,0,"[0.6787641048431396, 0.17998526990413666, 0.1412506252527237]",0.38,0.88,0.62,1,0.46,1,0.69,0.1,1,0,0.0,0,1.0,1,0.0,200,12
0,13,1,"[0.6422677040100098, 0.20922067761421204, 0.14851164817810059]",0.38,0.87,0.62,1,0.44,1,0.775,0.18,0,0,0.0,0,1.0,1,0.0,200,12
0,14,0,"[0.6255053281784058, 0.2230415642261505, 0.15145312249660492]",0.38,0.86,0.62,1,0.42,1,0.645,0.24,0,0,0.0,0,1.0,1,0.0,200,12
0,15,0,"[0.5597517490386963, 0.2725779712200165, 0.1676703244447708]",0.38,0.85,0.62,1,0.4,1,0.885,0.98,0,0,0.0,0,1.0,1,0.0,200,12
0,16,1,"[0.5389134883880615, 0.29180485010147095, 0.16928158700466156]",0.38,0.84,0.62,1,0.38,1,0.405,0.6,0,0,0.0,0,1.0,1,0.0,200,12
0,17,1,"[0.5083557963371277, 0.317440003156662, 0.17420418560504913]",0.38,0.83,0.62,1,0.36,1,0.11,0.76,0,0,0.0,0,1.0,1,0.0,200,12
0,18,0,"[0.5349361896514893, 0.2959124445915222, 0.1691514551639557]",0.38,0.82,0.62,1,0.34,1,0.275,0.44,0,0,0.0,0,1.0,1,0.0,200,12
0,19,0,"[0.5282450318336487, 0.28217363357543945, 0.18958139419555664]",0.105,0.81,0.895,2,0.74,2,0.295,0.28,1,0,0.0,0,1.0,1,0.0,200,12
