model,worker_id,trained_on,test_env,env_type,mean_reward,std_reward
A3C_Global,Global,All (80-200),50,Unseen,0.9062000000000131,0.2140456960557715
A3C_Global,Global,All (80-200),80,Seen,0.9209000000000134,0.17996858059116888
A3C_Global,Global,All (80-200),95,Unseen,0.8584000000000134,0.16429984783924742
A3C_Global,Global,All (80-200),110,Seen,0.8535000000000135,0.17162240529720996
A3C_Global,Global,All (80-200),125,Unseen,0.8706000000000129,0.18755436545172668
A3C_Global,Global,All (80-200),140,Seen,0.8530000000000132,0.19837590579503322
A3C_Global,Global,All (80-200),155,Unseen,0.8777000000000131,0.16120859158245848
A3C_Global,Global,All (80-200),170,Seen,0.8442000000000134,0.18677355273164342
A3C_Global,Global,All (80-200),185,Unseen,0.8577000000000133,0.1816375787110144
A3C_Global,Global,All (80-200),200,Seen,0.8684000000000129,0.1621494372484835
A3C_Global,Global,All (80-200),220,Unseen,0.8378000000000132,0.1468371887499889
Individual_W0,0,80,50,Unseen,0.8914000000000128,0.15236810689904867
Individual_W0,0,80,80,Seen,0.8586000000000132,0.18165913134219228
Individual_W0,0,80,95,Unseen,0.8746000000000133,0.17314687406938592
Individual_W0,0,80,110,Seen,0.8797000000000136,0.17134879631908667
Individual_W0,0,80,125,Unseen,0.8933000000000137,0.17025748148025616
Individual_W0,0,80,140,Seen,0.8376000000000132,0.19075701821951374
Individual_W0,0,80,155,Unseen,0.8957000000000133,0.1760852350425778
Individual_W0,0,80,170,Seen,0.8976000000000134,0.17471473893177913
Individual_W0,0,80,185,Unseen,0.8920000000000131,0.15624659996300674
Individual_W0,0,80,200,Seen,0.8530000000000133,0.16556267695347238
Individual_W0,0,80,220,Unseen,0.8470000000000125,0.13723337786413273
Individual_W1,1,110,50,Unseen,0.895300000000013,0.200869136504342
Individual_W1,1,110,80,Seen,0.883700000000013,0.18637277161645646
Individual_W1,1,110,95,Unseen,0.867700000000013,0.18475987118419374
Individual_W1,1,110,110,Seen,0.9126000000000128,0.18842038106319509
Individual_W1,1,110,125,Unseen,0.8777000000000134,0.15792786327940955
Individual_W1,1,110,140,Seen,0.8674000000000128,0.16905691349365104
Individual_W1,1,110,155,Unseen,0.8749000000000131,0.15100162250783877
Individual_W1,1,110,170,Seen,0.8760000000000134,0.16511208314354192
Individual_W1,1,110,185,Unseen,0.9052000000000133,0.1697614797296489
Individual_W1,1,110,200,Seen,0.8255000000000129,0.169906591985125
Individual_W1,1,110,220,Unseen,0.8951000000000134,0.19768533076584058
Individual_W2,2,140,50,Unseen,0.8735000000000136,0.1894630570850159
Individual_W2,2,140,80,Seen,0.9085000000000137,0.15713767848609658
Individual_W2,2,140,95,Unseen,0.8926000000000134,0.18963712716659642
Individual_W2,2,140,110,Seen,0.8751000000000134,0.18238007018312022
Individual_W2,2,140,125,Unseen,0.8916000000000132,0.18345691592305785
Individual_W2,2,140,140,Seen,0.8812000000000131,0.14652835902991607
Individual_W2,2,140,155,Unseen,0.8424000000000129,0.20502253534672657
Individual_W2,2,140,170,Seen,0.8928000000000137,0.21719843461682628
Individual_W2,2,140,185,Unseen,0.859600000000013,0.16112367920327478
Individual_W2,2,140,200,Seen,0.8612000000000133,0.16589020465355925
Individual_W2,2,140,220,Unseen,0.8795000000000133,0.17809618187934262
Individual_W3,3,170,50,Unseen,0.9046000000000131,0.21253197406507995
Individual_W3,3,170,80,Seen,0.8879000000000135,0.19674879923394678
Individual_W3,3,170,95,Unseen,0.9137000000000127,0.17469633653857702
Individual_W3,3,170,110,Seen,0.9216000000000133,0.16268202113325175
Individual_W3,3,170,125,Unseen,0.8672000000000131,0.1798170181045163
Individual_W3,3,170,140,Seen,0.8830000000000128,0.17162459031269303
Individual_W3,3,170,155,Unseen,0.8896000000000133,0.15378829604361918
Individual_W3,3,170,170,Seen,0.876800000000013,0.18319323131600612
Individual_W3,3,170,185,Unseen,0.8887000000000137,0.16258785317482952
Individual_W3,3,170,200,Seen,0.8536000000000135,0.1680358295126367
Individual_W3,3,170,220,Unseen,0.9080000000000134,0.2032904326327232
Individual_W4,4,200,50,Unseen,0.8737000000000134,0.17017288268111322
Individual_W4,4,200,80,Seen,0.8941000000000129,0.15786288354138167
Individual_W4,4,200,95,Unseen,0.8667000000000133,0.1825420773410886
Individual_W4,4,200,110,Seen,0.8830000000000132,0.1711782696489238
Individual_W4,4,200,125,Unseen,0.8634000000000129,0.17924686887083927
Individual_W4,4,200,140,Seen,0.8887000000000131,0.1642492313528435
Individual_W4,4,200,155,Unseen,0.8735000000000128,0.18376683596340168
Individual_W4,4,200,170,Seen,0.8971000000000131,0.15316360533756004
Individual_W4,4,200,185,Unseen,0.865900000000013,0.1639807610666559
Individual_W4,4,200,200,Seen,0.8806000000000135,0.17609554224908688
Individual_W4,4,200,220,Unseen,0.8242000000000137,0.15754796095157772
