episode,step,action,distribution,available_computation_units,remain_epochs,mec_comp_units_sum,mec_comp_units_nonzero,mec_proc_times_sum,mec_proc_times_nonzero,queue_comp_units,queue_proc_times,local_success,offload_success,ctx_vel_sum,ctx_vel_nonzero,ctx_comp_sum,ctx_comp_nonzero,reward,env_max_comp_units,env_agent_velocities
0,0,0,"[0.20277856290340424, 0.1477728933095932, 0.649448573589325]",1.0,1.0,0.0,0,0.0,0,0.9826086956521739,0.1,0,0,0.15714286267757416,1,0.9583333134651184,1,1.1300000000000001,115,41
0,1,2,"[0.2157992124557495, 0.4456815719604492, 0.3385191261768341]",1.0,0.99,0.0,0,0.0,0,1.391304347826087,0.6,1,0,0.15714286267757416,1,0.9583333134651184,1,-0.05,115,41
0,2,2,"[0.2059173583984375, 0.4786624312400818, 0.3154201805591583]",1.0,0.98,0.0,0,0.0,0,1.0608695652173914,0.3,1,0,0.15714286267757416,1,0.9583333134651184,1,-0.05,115,41
0,3,1,"[0.20300766825675964, 0.47945287823677063, 0.3175394833087921]",1.0,0.97,0.0,0,0.0,0,1.3043478260869565,0.5,1,0,0.15714286267757416,1,0.9583333134651184,1,-0.1,115,41
0,4,1,"[0.20234204828739166, 0.47818467020988464, 0.3194733262062073]",1.0,0.96,0.0,0,0.0,0,1.7130434782608697,0.2,1,0,0.15714286267757416,1,0.9583333134651184,1,-0.1,115,41
0,5,0,"[0.20221249759197235, 0.4800194203853607, 0.3177681863307953]",1.0,0.95,0.0,0,0.0,0,1.5304347826086957,0.2,1,0,0.15714286267757416,1,0.9583333134651184,1,-0.1,115,41
0,6,1,"[0.20177578926086426, 0.4897567331790924, 0.3084675073623657]",1.0,0.94,0.0,0,0.0,0,0.3130434782608696,0.4,0,0,0.15714286267757416,1,0.9583333134651184,1,0.0,115,41
0,7,1,"[0.20173582434654236, 0.4737875759601593, 0.3244766294956207]",1.0,0.93,0.0,0,0.0,0,1.4521739130434783,0.8,0,1,0.15714286267757416,1,0.9583333134651184,1,0.0,115,41
0,8,1,"[0.20188769698143005, 0.47384339570999146, 0.32426881790161133]",1.0,0.92,0.0,0,0.0,0,1.3652173913043477,0.9,0,1,0.15714286267757416,1,0.9583333134651184,1,0.0,115,41
0,9,2,"[0.202314555644989, 0.47658130526542664, 0.3211040794849396]",1.0,0.91,0.0,0,0.0,0,1.0782608695652174,0.7,0,1,0.15714286267757416,1,0.9583333134651184,1,0.29,115,41
0,10,2,"[0.20341086387634277, 0.4852016270160675, 0.3113875091075897]",1.0,0.9,0.0,0,0.0,0,0.17391304347826086,0.3,0,1,0.15714286267757416,1,0.9583333134651184,1,-0.05,115,41
0,11,1,"[0.20322830975055695, 0.4848356544971466, 0.31193608045578003]",1.0,0.89,0.0,0,0.0,0,0.2782608695652174,0.3,0,1,0.15714286267757416,1,0.9583333134651184,1,0.0,115,41
0,12,1,"[0.20209991931915283, 0.47571927309036255, 0.3221808671951294]",1.0,0.88,0.0,0,0.0,0,1.3130434782608695,0.7,0,1,0.15714286267757416,1,0.9583333134651184,1,0.0,115,41
0,13,2,"[0.20257575809955597, 0.4784185588359833, 0.3190057873725891]",1.0,0.87,0.0,0,0.0,0,0.9391304347826087,0.6,0,1,0.15714286267757416,1,0.9583333134651184,1,0.255,115,41
0,14,1,"[0.20276527106761932, 0.4812372922897339, 0.315997451543808]",1.0,0.86,0.0,0,0.0,0,0.4,0.8,0,1,0.15714286267757416,1,0.9583333134651184,1,1.53,115,41
0,15,1,"[0.20149379968643188, 0.4876965582370758, 0.3108096718788147]",1.0,0.85,0.0,0,0.0,0,0.41739130434782606,0.8,0,0,0.15714286267757416,1,0.9583333134651184,1,0.0,115,41
0,16,2,"[0.20195913314819336, 0.47491952776908875, 0.32312139868736267]",1.0,0.84,0.0,0,0.0,0,1.4173913043478261,0.8,0,1,0.15714286267757416,1,0.9583333134651184,1,1.475,115,41
0,17,2,"[0.20295648276805878, 0.4794371426105499, 0.3176063895225525]",1.0,0.83,0.0,0,0.0,0,1.1391304347826088,0.2,0,1,0.15714286267757416,1,0.9583333134651184,1,-0.05,115,41
0,18,1,"[0.20248788595199585, 0.4785740077495575, 0.3189381957054138]",1.0,0.82,0.0,0,0.0,0,0.8695652173913043,0.8,0,1,0.15714286267757416,1,0.9583333134651184,1,1.375,115,41
0,19,2,"[0.20191150903701782, 0.4863576889038086, 0.31173089146614075]",1.0,0.81,0.0,0,0.0,0,0.9130434782608695,0.2,0,0,0.15714286267757416,1,0.9583333134651184,1,-0.05,115,41
0,20,0,"[0.20151114463806152, 0.4825579524040222, 0.31593090295791626]",1.0,0.8,0.0,0,0.0,0,1.3043478260869565,0.3,0,0,0.15714286267757416,1,0.9583333134651184,1,-0.1,115,41
0,21,1,"[0.20104463398456573, 0.4792693257331848, 0.31968605518341064]",1.0,0.79,0.0,0,0.0,0,1.3565217391304347,1.0,0,0,0.15714286267757416,1,0.9583333134651184,1,0.0,115,41
0,22,2,"[0.20333725214004517, 0.48574239015579224, 0.3109202980995178]",1.0,0.78,0.0,0,0.0,0,0.06086956521739131,0.6,0,1,0.15714286267757416,1,0.9583333134651184,1,0.39,115,41
