episode,step,action,distribution,available_computation_units,channel_quality,remain_epochs,mec_comp_units_sum,mec_comp_units_nonzero,mec_proc_times_sum,mec_proc_times_nonzero,queue_comp_units,queue_proc_times,local_success,offload_success,ctx_vel_sum,ctx_vel_nonzero,ctx_comp_sum,ctx_comp_nonzero,reward,env_max_comp_units,env_agent_velocities
0,0,1,"[0.299202561378479, 0.1725955605506897, 0.5282019376754761]",1.0,1,1.0,0.0,0,0.0,0,0.43661971830985913,0.2,0,0,0.2857142984867096,1,1.0,1,-10.0,142,50
0,1,2,"[0.22147870063781738, 0.0616634227335453, 0.71685791015625]",1.0,1,0.99,0.0,0,0.0,0,0.4859154929577465,0.8,0,1,0.2857142984867096,1,1.0,1,59.0,142,50
0,2,2,"[0.19055838882923126, 0.04432601481676102, 0.7651156187057495]",1.0,1,0.98,0.0,0,0.0,0,0.38028169014084506,0.4,0,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,3,2,"[0.20014570653438568, 0.049826182425022125, 0.7500280737876892]",1.0,1,0.97,0.0,0,0.0,0,0.09154929577464789,0.2,0,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,4,2,"[0.20932090282440186, 0.06021475791931152, 0.7304642796516418]",1.0,0,0.96,0.0,0,0.0,0,0.6197183098591549,0.7,0,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,5,2,"[0.19906093180179596, 0.04819678142666817, 0.7527422904968262]",1.0,1,0.95,0.0,0,0.0,0,0.9647887323943662,1.0,0,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,6,2,"[0.20215211808681488, 0.05162733420729637, 0.746220588684082]",1.0,1,0.94,0.0,0,0.0,0,0.3591549295774648,0.1,0,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,7,2,"[0.21618551015853882, 0.06751776486635208, 0.7162967920303345]",1.0,0,0.93,0.0,0,0.0,0,0.2676056338028169,0.3,0,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,8,2,"[0.22542330622673035, 0.07770217210054398, 0.6968745589256287]",1.0,0,0.92,0.0,0,0.0,0,0.1267605633802817,1.0,0,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,9,2,"[0.22226688265800476, 0.07178657501935959, 0.7059465050697327]",1.0,0,0.91,0.0,0,0.0,0,0.5633802816901409,0.3,0,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,10,2,"[0.22533594071865082, 0.07787337899208069, 0.6967907547950745]",1.0,0,0.9,0.0,0,0.0,0,0.2112676056338028,0.5,0,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,11,2,"[0.22199822962284088, 0.07325590401887894, 0.7047458291053772]",1.0,0,0.89,0.0,0,0.0,0,0.5422535211267606,0.5,0,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,12,2,"[0.21954354643821716, 0.07092979550361633, 0.7095266580581665]",1.0,0,0.88,0.0,0,0.0,0,0.5985915492957746,0.4,0,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,13,2,"[0.21223941445350647, 0.06310209631919861, 0.7246585488319397]",1.0,0,0.87,0.0,0,0.0,0,0.9929577464788732,0.3,0,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,14,0,"[0.2132026106119156, 0.06405690312385559, 0.7227404713630676]",1.0,1,0.86,0.0,0,0.0,0,0.11267605633802817,0.6,0,1,0.2857142984867096,1,1.0,1,-10.0,142,50
0,15,2,"[0.1797856092453003, 0.0368502102792263, 0.7833642363548279]",0.8873239436619719,1,0.85,0.11267605633802817,1,0.5,1,0.44366197183098594,0.7,1,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,16,2,"[0.173310786485672, 0.03305833414196968, 0.793630838394165]",0.8873239436619719,1,0.84,0.11267605633802817,1,0.4,1,0.5070422535211268,0.7,1,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,17,2,"[0.1809665411710739, 0.03632292523980141, 0.7827105522155762]",0.8873239436619719,1,0.83,0.11267605633802817,1,0.3,1,0.11267605633802817,0.1,1,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,18,0,"[0.19510015845298767, 0.04677668213844299, 0.7581230998039246]",0.8873239436619719,0,0.82,0.11267605633802817,1,0.2,1,0.06338028169014084,0.1,1,1,0.2857142984867096,1,1.0,1,-1.0,142,50
0,19,0,"[0.18578732013702393, 0.03937007114291191, 0.7748426198959351]",0.8873239436619719,1,0.81,0.11267605633802817,1,0.1,1,0.8873239436619719,0.8,1,1,0.2857142984867096,1,1.0,1,6.0,142,50
0,20,2,"[0.13286221027374268, 0.015272104181349277, 0.8518657088279724]",0.11267605633802817,1,0.8,0.8873239436619719,1,0.7,1,0.7112676056338029,0.7,1,1,0.2857142984867096,1,1.0,1,-2.0,142,50
0,21,0,"[0.13350048661231995, 0.015849366784095764, 0.8506501317024231]",0.11267605633802817,0,0.79,0.8873239436619719,1,0.6,1,0.06338028169014084,0.7,1,1,0.2857142984867096,1,1.0,1,-10.0,142,50
0,22,2,"[0.12937955558300018, 0.014703967608511448, 0.8559165000915527]",0.04929577464788732,0,0.78,0.9507042253521127,2,1.1,2,0.09154929577464789,0.2,1,1,0.2857142984867096,1,1.0,1,-2.0,142,50
