model,worker_id,trained_comp,trained_vel,test_comp,test_vel,env_type,mean_reward,std_reward
Individual_W1,1,200,10,200,12,Intra,32.061666666666675,8.523053867143059
Individual_W1,1,200,10,200,17,Intra,30.091666666666672,4.815877963108655
Individual_W1,1,200,10,200,25,Intra,29.895,6.5897186333459405
Individual_W1,1,200,10,200,30,Intra,30.77833333333334,6.1131645287490475
Individual_W1,1,200,10,200,35,Intra,31.68666666666667,6.301070455794704
Individual_W1,1,200,10,100,25,Extra,13.405000000000001,3.1707346677597186
Individual_W1,1,200,10,100,30,Extra,13.476666666666667,2.6415820175712055
Individual_W1,1,200,10,150,25,Extra,23.453333333333333,6.43336269423352
Individual_W1,1,200,10,150,30,Extra,21.625,4.214612477243113
Individual_W1,1,200,10,150,35,Extra,21.610000000000003,5.0846566583529835
Individual_W1,1,200,10,100,10,Extra,14.136666666666667,3.221255793768773
Individual_W1,1,200,10,150,15,Extra,22.303333333333327,5.8301219731856575
Individual_W2,2,200,15,200,5,Seen,30.54666666666667,4.866534244773743
Individual_W2,2,200,15,200,10,Seen,30.59666666666667,7.171865556154517
Individual_W2,2,200,15,200,15,Seen,28.39166666666667,4.907359835548598
Individual_W2,2,200,15,200,20,Seen,31.406666666666673,5.760783125775716
Individual_W2,2,200,15,200,25,Seen,30.46833333333334,5.331111255847342
Individual_W2,2,200,15,200,7,Intra,30.741666666666664,6.576157481555792
Individual_W2,2,200,15,200,12,Intra,33.28666666666667,6.55875919837146
Individual_W2,2,200,15,200,17,Intra,30.770000000000003,6.671851317288178
Individual_W2,2,200,15,200,25,Intra,30.118333333333336,5.648871322859302
Individual_W2,2,200,15,200,30,Intra,31.430000000000003,6.118899683221921
Individual_W2,2,200,15,200,35,Intra,31.20666666666667,6.295378375355122
Individual_W2,2,200,15,100,25,Extra,14.088333333333335,3.0050147901281448
Individual_W2,2,200,15,100,30,Extra,13.671666666666665,3.6557872689142568
Individual_W2,2,200,15,150,25,Extra,22.465000000000007,6.024466089759879
Individual_W2,2,200,15,150,30,Extra,21.460000000000004,4.348819763261446
Individual_W2,2,200,15,150,35,Extra,22.575000000000003,5.502344197400473
Individual_W2,2,200,15,100,10,Extra,13.876666666666667,4.519397698317284
Individual_W2,2,200,15,150,15,Extra,22.19,4.313842061704778
Individual_W3,3,200,20,200,5,Seen,48.52666666666667,14.022926069674458
Individual_W3,3,200,20,200,10,Seen,57.236666666666665,13.839369767281875
Individual_W3,3,200,20,200,15,Seen,51.711666666666666,10.749392876912735
Individual_W3,3,200,20,200,20,Seen,51.94833333333334,13.760035630606325
Individual_W3,3,200,20,200,25,Seen,55.89333333333333,14.099549244174046
Individual_W3,3,200,20,200,7,Intra,51.30166666666667,16.577054841624378
Individual_W3,3,200,20,200,12,Intra,56.89000000000001,14.69457609686876
Individual_W3,3,200,20,200,17,Intra,55.40166666666668,11.857033660330995
Individual_W3,3,200,20,200,25,Intra,54.08833333333333,13.773202746234764
Individual_W3,3,200,20,200,30,Intra,54.361666666666665,12.077863244612248
Individual_W3,3,200,20,200,35,Intra,53.905,10.862276848494211
Individual_W3,3,200,20,100,25,Extra,30.270000000000003,11.665537564410252
Individual_W3,3,200,20,100,30,Extra,30.05,12.662701133644434
Individual_W3,3,200,20,150,25,Extra,42.21,14.735045526453817
Individual_W3,3,200,20,150,30,Extra,38.43333333333333,7.915305146079684
Individual_W3,3,200,20,150,35,Extra,40.57500000000001,12.470496849230456
Individual_W3,3,200,20,100,10,Extra,30.04666666666667,11.95878988675508
Individual_W3,3,200,20,150,15,Extra,40.46833333333334,12.156579037249292
Individual_W4,4,200,25,200,5,Seen,30.44333333333333,7.140164952965413
Individual_W4,4,200,25,200,10,Seen,31.633333333333336,7.883435517308145
Individual_W4,4,200,25,200,15,Seen,31.93000000000001,7.050018912504183
Individual_W4,4,200,25,200,20,Seen,30.05833333333333,5.122484477499393
Individual_W4,4,200,25,200,25,Seen,32.62166666666666,6.45945925669393
Individual_W4,4,200,25,200,7,Intra,29.69166666666667,6.011254490998993
Individual_W4,4,200,25,200,12,Intra,29.57,5.297272883286267
Individual_W4,4,200,25,200,17,Intra,28.57166666666667,5.797207421585748
Individual_W4,4,200,25,200,25,Intra,29.428333333333327,5.654359429286005
Individual_W4,4,200,25,200,30,Intra,33.330000000000005,6.327039855519589
Individual_W4,4,200,25,200,35,Intra,28.281666666666663,5.9210990440026325
Individual_W4,4,200,25,100,25,Extra,13.736666666666668,2.4970627189204166
Individual_W4,4,200,25,100,30,Extra,14.113333333333335,3.333464997399687
Individual_W4,4,200,25,150,25,Extra,23.230000000000004,4.762485345559256
Individual_W4,4,200,25,150,30,Extra,21.243333333333332,6.491811936757119
Individual_W4,4,200,25,150,35,Extra,22.203333333333333,6.956363194147419
Individual_W4,4,200,25,100,10,Extra,13.336666666666668,2.9536117250278884
Individual_W4,4,200,25,150,15,Extra,21.86333333333334,4.317250925711355
