episode,step,action,distribution,available_computation_units,remain_epochs,mec_comp_units_sum,mec_comp_units_nonzero,mec_proc_times_sum,mec_proc_times_nonzero,queue_comp_units,queue_proc_times,local_success,offload_success,ctx_vel_sum,ctx_vel_nonzero,ctx_comp_sum,ctx_comp_nonzero,reward,env_max_comp_units,env_agent_velocities
0,0,2,"[0.27802664041519165, 0.2972980737686157, 0.42467525601387024]",1.0,1.0,0.0,0,0.0,0,0.65,0.06,0,0,0.0,0,1.0,1,-0.25,200,10
0,1,0,"[0.13662481307983398, 0.46992942690849304, 0.3934457302093506]",1.0,0.99,0.0,0,0.0,0,0.92,0.5,0,0,0.0,0,1.0,1,0.0,200,10
0,2,2,"[0.09896879643201828, 0.37866491079330444, 0.5223662853240967]",0.08,0.98,0.92,1,0.48,1,0.23,0.58,1,0,0.0,0,1.0,1,-0.25,200,10
0,3,1,"[0.09732978045940399, 0.36089998483657837, 0.5417702198028564]",0.08,0.97,0.92,1,0.46,1,0.375,0.3,1,0,0.0,0,1.0,1,-0.5,200,10
0,4,2,"[0.09893874078989029, 0.36873939633369446, 0.5323219299316406]",0.08,0.96,0.92,1,0.44,1,0.55,0.76,1,0,0.0,0,1.0,1,-0.25,200,10
0,5,2,"[0.09964060038328171, 0.364445298910141, 0.5359141230583191]",0.08,0.95,0.92,1,0.42,1,0.91,0.48,1,0,0.0,0,1.0,1,-0.25,200,10
0,6,0,"[0.09670783579349518, 0.35587766766548157, 0.5474145412445068]",0.08,0.94,0.92,1,0.4,1,0.53,0.26,1,0,0.0,0,1.0,1,-0.5,200,10
0,7,2,"[0.10044387727975845, 0.3608779311180115, 0.5386781692504883]",0.08,0.93,0.92,1,0.38,1,0.525,0.18,0,0,0.0,0,1.0,1,-0.25,200,10
0,8,2,"[0.0998694971203804, 0.36365851759910583, 0.536471962928772]",0.08,0.92,0.92,1,0.36,1,0.64,0.38,0,0,0.0,0,1.0,1,-0.25,200,10
0,9,2,"[0.09903790056705475, 0.36239510774612427, 0.5385670065879822]",0.08,0.91,0.92,1,0.34,1,0.69,0.32,0,0,0.0,0,1.0,1,-0.25,200,10
0,10,2,"[0.09780768305063248, 0.36762887239456177, 0.534563422203064]",0.08,0.9,0.92,1,0.32,1,0.13,0.5,0,0,0.0,0,1.0,1,-0.25,200,10
0,11,0,"[0.09796503931283951, 0.35476934909820557, 0.5472655892372131]",0.08,0.89,0.92,1,0.3,1,0.53,0.06,0,0,0.0,0,1.0,1,-0.5,200,10
