episode,step,action,distribution,available_computation_units,remain_epochs,mec_comp_units_sum,mec_comp_units_nonzero,mec_proc_times_sum,mec_proc_times_nonzero,queue_comp_units,queue_proc_times,local_success,offload_success,ctx_vel_sum,ctx_vel_nonzero,ctx_comp_sum,ctx_comp_nonzero,reward,env_max_comp_units,env_agent_velocities
0,0,0,"[0.3932574689388275, 0.20635922253131866, 0.4003832936286926]",1.0,1.0,0.0,0,0.0,0,0.8924731182795699,0.9,0,0,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,1,1,"[0.251691609621048, 0.5006828308105469, 0.24762557446956635]",0.10752688172043011,0.99,0.8924731182795699,1,0.8,1,1.3440860215053763,0.2,1,0,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,2,2,"[0.2336394339799881, 0.527870237827301, 0.2384902983903885]",0.10752688172043011,0.98,0.8924731182795699,1,0.7,1,0.8279569892473119,0.5,1,1,0.2571428716182709,1,0.7749999761581421,1,1.19,93,48
0,3,1,"[0.22451691329479218, 0.5401191711425781, 0.2353638857603073]",0.10752688172043011,0.97,0.8924731182795699,1,0.6,1,1.7634408602150538,0.7,1,1,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,4,1,"[0.2205224186182022, 0.5450796484947205, 0.23439791798591614]",0.10752688172043011,0.96,0.8924731182795699,1,0.5,1,0.3548387096774194,1.0,1,1,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,5,1,"[0.21606235206127167, 0.5557080507278442, 0.22822962701320648]",0.10752688172043011,0.95,0.8924731182795699,1,0.4,1,2.043010752688172,0.8,1,0,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,6,1,"[0.2185974419116974, 0.5542010068893433, 0.22720156610012054]",0.10752688172043011,0.94,0.8924731182795699,1,0.3,1,0.7311827956989247,0.1,1,1,0.2571428716182709,1,0.7749999761581421,1,0.675,93,48
0,7,1,"[0.21600322425365448, 0.5556491613388062, 0.22834759950637817]",0.10752688172043011,0.93,0.8924731182795699,1,0.2,1,1.8494623655913978,0.5,1,1,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,8,1,"[0.21750392019748688, 0.5569841265678406, 0.22551196813583374]",0.10752688172043011,0.92,0.8924731182795699,1,0.1,1,0.5591397849462365,0.1,1,1,0.2571428716182709,1,0.7749999761581421,1,0.73,93,48
0,9,1,"[0.211152583360672, 0.5888326168060303, 0.20001479983329773]",1.0,0.91,0.0,0,0.0,0,0.6774193548387096,0.3,1,0,0.2571428716182709,1,0.7749999761581421,1,1.605,93,48
0,10,1,"[0.21050037443637848, 0.5881141424179077, 0.2013854682445526]",1.0,0.9,0.0,0,0.0,0,1.903225806451613,0.6,1,1,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,11,1,"[0.21258525550365448, 0.5893635153770447, 0.19805125892162323]",1.0,0.89,0.0,0,0.0,0,0.21505376344086022,0.3,1,0,0.2571428716182709,1,0.7749999761581421,1,2.31,93,48
0,12,0,"[0.21137529611587524, 0.5879675149917603, 0.2006572186946869]",1.0,0.88,0.0,0,0.0,0,1.6129032258064515,0.6,1,1,0.2571428716182709,1,0.7749999761581421,1,1.76,93,48
0,13,1,"[0.2135404795408249, 0.5867280960083008, 0.1997314691543579]",1.0,0.87,0.0,0,0.0,0,0.989247311827957,0.4,0,1,0.2571428716182709,1,0.7749999761581421,1,0.185,93,48
0,14,1,"[0.21525464951992035, 0.5861823558807373, 0.19856305420398712]",1.0,0.86,0.0,0,0.0,0,0.989247311827957,0.1,0,1,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,15,1,"[0.2148885875940323, 0.5877158641815186, 0.19739551842212677]",1.0,0.85,0.0,0,0.0,0,0.7526881720430108,0.4,0,0,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,16,1,"[0.21256481111049652, 0.5851242542266846, 0.2023109346628189]",1.0,0.84,0.0,0,0.0,0,2.10752688172043,1.0,0,1,0.2571428716182709,1,0.7749999761581421,1,0.8,93,48
0,17,0,"[0.21404209733009338, 0.5877524018287659, 0.19820545613765717]",1.0,0.83,0.0,0,0.0,0,0.8924731182795699,0.6,0,0,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,18,1,"[0.21751269698143005, 0.5600016117095947, 0.2224857360124588]",0.10752688172043011,0.82,0.8924731182795699,1,0.5,1,0.3333333333333333,0.9,1,0,0.2571428716182709,1,0.7749999761581421,1,0.58,93,48
0,19,1,"[0.21794094145298004, 0.5605653524398804, 0.2214936763048172]",0.10752688172043011,0.81,0.8924731182795699,1,0.4,1,0.9139784946236559,0.2,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,20,1,"[0.21419531106948853, 0.5618970990180969, 0.22390753030776978]",0.10752688172043011,0.8,0.8924731182795699,1,0.3,1,1.7634408602150538,0.9,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,21,2,"[0.21557863056659698, 0.5621718764305115, 0.22224947810173035]",0.10752688172043011,0.79,0.8924731182795699,1,0.2,1,0.3333333333333333,0.6,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.05,93,48
0,22,0,"[0.2160479575395584, 0.5632094144821167, 0.2207425981760025]",0.10752688172043011,0.78,0.8924731182795699,1,0.1,1,0.8494623655913979,0.3,1,0,0.2571428716182709,1,0.7749999761581421,1,0.73,93,48
0,23,1,"[0.21042293310165405, 0.5896403193473816, 0.19993673264980316]",1.0,0.77,0.0,0,0.0,0,1.1397849462365592,0.8,0,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,24,1,"[0.21118062734603882, 0.5896289348602295, 0.19919036328792572]",1.0,0.76,0.0,0,0.0,0,0.8602150537634409,1.0,0,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,25,1,"[0.21235907077789307, 0.5892420411109924, 0.19839881360530853]",1.0,0.75,0.0,0,0.0,0,0.45161290322580644,0.9,0,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,26,1,"[0.21323256194591522, 0.5889847874641418, 0.19778268039226532]",1.0,0.74,0.0,0,0.0,0,1.903225806451613,0.5,0,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,27,2,"[0.21366192400455475, 0.588549792766571, 0.1977882832288742]",1.0,0.73,0.0,0,0.0,0,0.45161290322580644,0.8,0,0,0.2571428716182709,1,0.7749999761581421,1,-0.05,93,48
0,28,1,"[0.21332362294197083, 0.5885046124458313, 0.1981717050075531]",1.0,0.72,0.0,0,0.0,0,0.13978494623655913,1.0,0,0,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,29,1,"[0.21400681138038635, 0.5865417122840881, 0.19945143163204193]",1.0,0.71,0.0,0,0.0,0,0.8279569892473119,0.7,0,1,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,30,2,"[0.21532772481441498, 0.5883245468139648, 0.1963476985692978]",1.0,0.7,0.0,0,0.0,0,0.7419354838709677,0.3,0,0,0.2571428716182709,1,0.7749999761581421,1,-0.05,93,48
0,31,2,"[0.21278999745845795, 0.5881444811820984, 0.19906556606292725]",1.0,0.69,0.0,0,0.0,0,2.010752688172043,1.0,0,0,0.2571428716182709,1,0.7749999761581421,1,-0.05,93,48
0,32,0,"[0.21392640471458435, 0.5885010957717896, 0.1975725144147873]",1.0,0.68,0.0,0,0.0,0,1.7634408602150538,0.6,0,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,33,2,"[0.2162451148033142, 0.5879208445549011, 0.19583401083946228]",1.0,0.67,0.0,0,0.0,0,1.010752688172043,0.1,0,0,0.2571428716182709,1,0.7749999761581421,1,-0.05,93,48
0,34,1,"[0.21667060256004333, 0.5876957178115845, 0.19563360512256622]",1.0,0.66,0.0,0,0.0,0,0.9354838709677419,0.1,0,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,35,0,"[0.21498237550258636, 0.5880876183509827, 0.196929931640625]",1.0,0.65,0.0,0,0.0,0,0.6989247311827957,0.7,0,0,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,36,1,"[0.21568846702575684, 0.5684179663658142, 0.21589352190494537]",0.3010752688172043,0.64,0.6989247311827957,1,0.6,1,1.5806451612903225,0.9,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,37,1,"[0.2166258841753006, 0.5680699348449707, 0.2153041660785675]",0.3010752688172043,0.63,0.6989247311827957,1,0.5,1,0.25806451612903225,0.5,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.02,93,48
0,38,2,"[0.21328605711460114, 0.5696151852607727, 0.21709878742694855]",0.3010752688172043,0.62,0.6989247311827957,1,0.4,1,1.2473118279569892,1.0,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.05,93,48
0,39,1,"[0.21206285059452057, 0.5708470940589905, 0.21709010004997253]",0.3010752688172043,0.61,0.6989247311827957,1,0.3,1,1.89247311827957,1.0,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,40,2,"[0.21245315670967102, 0.5716539025306702, 0.21589292585849762]",0.3010752688172043,0.6,0.6989247311827957,1,0.2,1,1.8172043010752688,0.8,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.05,93,48
0,41,1,"[0.21449775993824005, 0.5725937485694885, 0.212908536195755]",0.3010752688172043,0.59,0.6989247311827957,1,0.1,1,1.7849462365591398,0.2,1,0,0.2571428716182709,1,0.7749999761581421,1,0.55,93,48
0,42,0,"[0.21125085651874542, 0.591566264629364, 0.19718287885189056]",1.0,0.58,0.0,0,0.0,0,0.7956989247311828,0.5,1,0,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,43,2,"[0.2172396332025528, 0.5680674314498901, 0.21469292044639587]",0.20430107526881722,0.57,0.7956989247311828,1,0.4,1,1.5376344086021505,0.1,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.05,93,48
0,44,1,"[0.21388734877109528, 0.5668981671333313, 0.21921446919441223]",0.20430107526881722,0.56,0.7956989247311828,1,0.3,1,1.3655913978494623,1.0,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,45,0,"[0.214602991938591, 0.5684053301811218, 0.21699166297912598]",0.20430107526881722,0.55,0.7956989247311828,1,0.2,1,1.6021505376344085,0.5,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,46,1,"[0.21507376432418823, 0.5683578848838806, 0.21656827628612518]",0.20430107526881722,0.54,0.7956989247311828,1,0.1,1,1.3978494623655915,0.7,0,0,0.2571428716182709,1,0.7749999761581421,1,0.64,93,48
0,47,1,"[0.21412187814712524, 0.5897772312164307, 0.19610090553760529]",1.0,0.53,0.0,0,0.0,0,0.46236559139784944,0.1,0,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,48,0,"[0.21448487043380737, 0.5899421572685242, 0.19557300209999084]",1.0,0.52,0.0,0,0.0,0,0.15053763440860216,0.5,0,0,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,49,2,"[0.21299856901168823, 0.5870164632797241, 0.19998498260974884]",0.8494623655913979,0.51,0.15053763440860216,1,0.4,1,1.2580645161290323,0.7,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.05,93,48
0,50,0,"[0.21345803141593933, 0.5873714089393616, 0.1991705745458603]",0.8494623655913979,0.5,0.15053763440860216,1,0.3,1,0.7204301075268817,0.5,1,0,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,51,0,"[0.2173091173171997, 0.5698183178901672, 0.21287250518798828]",0.12903225806451613,0.49,0.8709677419354839,2,0.6000000000000001,2,0.2903225806451613,0.5,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
0,52,1,"[0.21539044380187988, 0.5707126259803772, 0.21389693021774292]",0.12903225806451613,0.48,0.8709677419354839,2,0.4,2,0.7419354838709677,0.9,0,0,0.2571428716182709,1,0.7749999761581421,1,0.04,93,48
0,53,0,"[0.21832028031349182, 0.5703917741775513, 0.2112879455089569]",0.27956989247311825,0.47,0.7204301075268817,1,0.2,1,0.27956989247311825,0.2,0,0,0.2571428716182709,1,0.7749999761581421,1,0.0,93,48
0,54,2,"[0.21614326536655426, 0.5617988705635071, 0.22205783426761627]",0.0,0.46,1.0,2,0.2,2,0.7634408602150538,1.0,1,0,0.2571428716182709,1,0.7749999761581421,1,0.88,93,48
0,55,1,"[0.21248580515384674, 0.5914099216461182, 0.1961042732000351]",1.0,0.45,0.0,0,0.0,0,0.6989247311827957,0.1,1,0,0.2571428716182709,1,0.7749999761581421,1,-0.1,93,48
