episode,step,action,distribution,available_computation_units,remain_epochs,mec_comp_units_sum,mec_comp_units_nonzero,mec_proc_times_sum,mec_proc_times_nonzero,queue_comp_units,queue_proc_times,local_success,offload_success,ctx_vel_sum,ctx_vel_nonzero,ctx_comp_sum,ctx_comp_nonzero,reward,env_max_comp_units,env_agent_velocities
0,0,0,"[0.5798242092132568, 0.2743959426879883, 0.14577984809875488]",1.0,1.0,0.0,0,0.0,0,0.535,0.76,0,0,0.0,0,1.0,1,0.0,200,12
0,1,2,"[0.5770913362503052, 0.280323326587677, 0.14258532226085663]",0.465,0.99,0.535,1,0.74,1,0.42,0.7,1,0,0.0,0,1.0,1,0.0,200,12
0,2,2,"[0.576580286026001, 0.2807232141494751, 0.14269641041755676]",0.465,0.98,0.535,1,0.72,1,0.205,0.5,1,0,0.0,0,1.0,1,0.0,200,12
0,3,1,"[0.576553225517273, 0.28074580430984497, 0.14270098507404327]",0.465,0.97,0.535,1,0.7,1,0.445,0.18,1,0,0.0,0,1.0,1,0.0,200,12
0,4,0,"[0.5765543580055237, 0.28074395656585693, 0.14270171523094177]",0.465,0.96,0.535,1,0.68,1,0.47,0.36,1,0,0.0,0,1.0,1,0.0,200,12
0,5,1,"[0.5765459537506104, 0.28075021505355835, 0.1427038311958313]",0.465,0.95,0.535,1,0.66,1,0.56,0.04,0,0,0.0,0,1.0,1,0.0,200,12
0,6,0,"[0.5765584111213684, 0.28074055910110474, 0.14270099997520447]",0.465,0.94,0.535,1,0.64,1,0.03,0.88,0,1,0.0,0,1.0,1,5.6000000000000005,200,12
0,7,2,"[0.5765570402145386, 0.28074145317077637, 0.14270147681236267]",0.435,0.93,0.5650000000000001,2,1.48,2,0.245,0.52,1,1,0.0,0,1.0,1,0.0,200,12
0,8,0,"[0.5765562057495117, 0.2807423770427704, 0.14270144701004028]",0.435,0.92,0.5650000000000001,2,1.44,2,0.22,0.52,1,1,0.0,0,1.0,1,0.0,200,12
0,9,1,"[0.5765554308891296, 0.2807419002056122, 0.14270257949829102]",0.215,0.91,0.785,3,1.9,3,0.725,0.52,1,1,0.0,0,1.0,1,0.0,200,12
0,10,1,"[0.5765491127967834, 0.2807494103908539, 0.14270146191120148]",0.215,0.9,0.785,3,1.84,3,0.39,0.48,1,1,0.0,0,1.0,1,0.0,200,12
0,11,0,"[0.5765503644943237, 0.28074830770492554, 0.14270135760307312]",0.215,0.89,0.785,3,1.78,3,0.155,0.82,1,1,0.0,0,1.0,1,0.0,200,12
0,12,2,"[0.576526939868927, 0.28077173233032227, 0.14270128309726715]",0.06,0.88,0.9400000000000001,4,2.52,4,0.085,0.12,1,1,0.0,0,1.0,1,0.0,200,12
0,13,0,"[0.5765349268913269, 0.2807631492614746, 0.1427018940448761]",0.06,0.87,0.9400000000000001,4,2.44,4,0.045,0.46,1,1,0.0,0,1.0,1,0.0,200,12
0,14,0,"[0.5765482783317566, 0.28074678778648376, 0.14270496368408203]",0.015,0.86,0.9850000000000001,5,2.8000000000000003,5,0.885,0.18,1,1,0.0,0,1.0,1,0.0,200,12
0,15,0,"[0.5765532851219177, 0.28073954582214355, 0.1427072286605835]",0.015,0.85,0.9850000000000001,5,2.7,5,0.79,0.96,0,1,0.0,0,1.0,1,0.0,200,12
0,16,1,"[0.5765465497970581, 0.28074586391448975, 0.14270752668380737]",0.015,0.84,0.9850000000000001,5,2.6,5,0.7,0.66,0,1,0.0,0,1.0,1,0.0,200,12
0,17,2,"[0.5765427947044373, 0.2807459831237793, 0.14271122217178345]",0.015,0.83,0.9850000000000001,5,2.5,5,0.715,1.0,0,0,0.0,0,1.0,1,0.0,200,12
0,18,0,"[0.5765321254730225, 0.2807556986808777, 0.14271223545074463]",0.015,0.82,0.9850000000000001,5,2.4,5,0.53,0.76,0,0,0.0,0,1.0,1,0.0,200,12
0,19,1,"[0.5765299797058105, 0.2807580530643463, 0.14271192252635956]",0.015,0.81,0.9850000000000001,5,2.3,5,0.33,0.9,0,0,0.0,0,1.0,1,0.0,200,12
0,20,0,"[0.5765244960784912, 0.2807622253894806, 0.14271336793899536]",0.015,0.8,0.9850000000000001,5,2.1999999999999997,5,0.66,0.4,0,0,0.0,0,1.0,1,0.0,200,12
0,21,1,"[0.5765155553817749, 0.2807711362838745, 0.14271330833435059]",0.015,0.79,0.9850000000000001,5,2.0999999999999996,5,0.39,0.44,0,0,0.0,0,1.0,1,0.0,200,12
0,22,1,"[0.5765467286109924, 0.28074580430984497, 0.1427074372768402]",0.015,0.78,0.9850000000000001,5,2.0,5,0.665,0.78,0,1,0.0,0,1.0,1,0.0,200,12
0,23,0,"[0.5765319466590881, 0.2807610332965851, 0.14270703494548798]",0.015,0.77,0.9850000000000001,5,1.9000000000000001,5,0.19,0.72,0,1,0.0,0,1.0,1,0.0,200,12
0,24,0,"[0.5765326023101807, 0.2807600200176239, 0.14270742237567902]",0.015,0.76,0.9850000000000001,5,1.8,5,0.455,0.44,0,1,0.0,0,1.0,1,0.0,200,12
0,25,2,"[0.5765454173088074, 0.28074708580970764, 0.14270749688148499]",0.015,0.75,0.9850000000000001,5,1.7,5,0.52,0.96,0,1,0.0,0,1.0,1,0.0,200,12
0,26,2,"[0.5765405297279358, 0.28075161576271057, 0.14270789921283722]",0.015,0.74,0.9850000000000001,5,1.5999999999999999,5,0.59,0.68,0,1,0.0,0,1.0,1,0.0,200,12
0,27,1,"[0.5765334367752075, 0.28075888752937317, 0.14270775020122528]",0.015,0.73,0.9850000000000001,5,1.5,5,0.45,0.56,0,1,0.0,0,1.0,1,0.0,200,12
0,28,2,"[0.5765110850334167, 0.28078287839889526, 0.142706036567688]",0.015,0.72,0.9850000000000001,5,1.4,5,0.005,0.4,0,1,0.0,0,1.0,1,0.0,200,12
0,29,0,"[0.5765336155891418, 0.2807592749595642, 0.14270709455013275]",0.015,0.71,0.9850000000000001,5,1.3000000000000003,5,0.25,0.8,0,1,0.0,0,1.0,1,0.0,200,12
0,30,0,"[0.5765419006347656, 0.28074949979782104, 0.14270858466625214]",0.015,0.7,0.9850000000000001,5,1.2000000000000002,5,0.845,0.54,0,1,0.0,0,1.0,1,0.0,200,12
0,31,0,"[0.5765256285667419, 0.2807668149471283, 0.14270761609077454]",0.015,0.69,0.9850000000000001,5,1.1,5,0.275,0.58,0,1,0.0,0,1.0,1,0.0,200,12
