episode,step,action,distribution,available_computation_units,remain_epochs,mec_comp_units_sum,mec_comp_units_nonzero,mec_proc_times_sum,mec_proc_times_nonzero,queue_comp_units,queue_proc_times,local_success,offload_success,ctx_vel_sum,ctx_vel_nonzero,ctx_comp_sum,ctx_comp_nonzero,reward,env_max_comp_units,env_agent_velocities
0,0,0,"[0.29237815737724304, 0.4914425015449524, 0.2161792665719986]",1.0,1.0,0.0,0,0.0,0,0.065,0.86,0,0,0.0,0,1.0,1,0.0,200,5
0,1,2,"[0.2853071987628937, 0.5111197233200073, 0.2035730481147766]",0.935,0.99,0.065,1,0.84,1,0.03,0.28,1,0,0.0,0,1.0,1,0.0,200,5
0,2,1,"[0.28530293703079224, 0.5111256241798401, 0.2035713940858841]",0.935,0.98,0.065,1,0.82,1,0.545,0.64,1,0,0.0,0,1.0,1,0.0,200,5
0,3,0,"[0.28530585765838623, 0.5111204385757446, 0.20357368886470795]",0.935,0.97,0.065,1,0.8,1,0.54,0.48,1,0,0.0,0,1.0,1,0.0,200,5
0,4,1,"[0.2853183150291443, 0.5110926628112793, 0.2035890370607376]",0.395,0.96,0.605,2,1.24,2,0.21,0.56,1,0,0.0,0,1.0,1,0.0,200,5
0,5,1,"[0.28531762957572937, 0.5110939741134644, 0.20358845591545105]",0.395,0.95,0.605,2,1.2,2,0.04,0.82,1,0,0.0,0,1.0,1,0.0,200,5
0,6,1,"[0.2853076756000519, 0.5111159682273865, 0.20357628166675568]",0.395,0.94,0.605,2,1.16,2,0.73,0.96,1,0,0.0,0,1.0,1,0.0,200,5
0,7,1,"[0.28531306982040405, 0.5111041069030762, 0.20358280837535858]",0.395,0.93,0.605,2,1.12,2,0.425,0.78,1,0,0.0,0,1.0,1,0.0,200,5
0,8,2,"[0.2853168547153473, 0.5110957622528076, 0.2035873681306839]",0.395,0.92,0.605,2,1.08,2,0.045,0.94,1,0,0.0,0,1.0,1,0.0,200,5
0,9,0,"[0.28532102704048157, 0.5110874772071838, 0.20359152555465698]",0.395,0.91,0.605,2,1.04,2,0.435,0.26,1,0,0.0,0,1.0,1,0.0,200,5
0,10,1,"[0.28533992171287537, 0.5110569596290588, 0.203603133559227]",0.395,0.9,0.605,2,1.0,2,0.075,0.04,0,0,0.0,0,1.0,1,0.0,200,5
0,11,0,"[0.2853107750415802, 0.5111115574836731, 0.2035776525735855]",0.395,0.89,0.605,2,0.96,2,0.87,0.48,0,1,0.0,0,1.0,1,0.75,200,5
0,12,0,"[0.28532305359840393, 0.5110874176025391, 0.20358948409557343]",0.395,0.88,0.605,2,0.9199999999999999,2,0.425,0.12,0,1,0.0,0,1.0,1,0.0,200,5
0,13,1,"[0.2853096127510071, 0.5111138820648193, 0.2035764902830124]",0.395,0.87,0.605,2,0.88,2,0.715,0.8,0,1,0.0,0,1.0,1,0.0,200,5
0,14,0,"[0.2853102684020996, 0.5111127495765686, 0.20357705652713776]",0.395,0.86,0.605,2,0.84,2,0.605,0.88,0,1,0.0,0,1.0,1,0.0,200,5
0,15,1,"[0.2853100299835205, 0.5111132860183716, 0.20357674360275269]",0.395,0.85,0.605,2,0.8,2,0.705,0.82,0,1,0.0,0,1.0,1,0.0,200,5
0,16,1,"[0.2853185534477234, 0.5110963582992554, 0.20358510315418243]",0.395,0.84,0.605,2,0.76,2,0.765,0.1,0,1,0.0,0,1.0,1,0.0,200,5
0,17,1,"[0.28531625866889954, 0.5111007690429688, 0.2035829722881317]",0.395,0.83,0.605,2,0.72,2,0.315,0.76,0,1,0.0,0,1.0,1,0.0,200,5
0,18,0,"[0.28532353043556213, 0.5110868215560913, 0.20358958840370178]",0.395,0.82,0.605,2,0.6799999999999999,2,0.15,0.52,0,1,0.0,0,1.0,1,0.0,200,5
0,19,0,"[0.2853161692619324, 0.5110955834388733, 0.20358821749687195]",0.245,0.81,0.755,3,1.1400000000000001,3,0.375,0.6,1,1,0.0,0,1.0,1,0.0,200,5
0,20,2,"[0.28531792759895325, 0.5110968947410583, 0.20358513295650482]",0.245,0.8,0.755,3,1.08,3,0.9,0.14,0,1,0.0,0,1.0,1,7.65,200,5
0,21,0,"[0.2853255867958069, 0.5110825300216675, 0.20359186828136444]",0.245,0.79,0.755,3,1.02,3,0.41,0.28,0,1,0.0,0,1.0,1,0.0,200,5
0,22,1,"[0.2853297293186188, 0.5110751986503601, 0.20359507203102112]",0.245,0.78,0.755,3,0.96,3,0.27,0.28,0,1,0.0,0,1.0,1,0.0,200,5
0,23,1,"[0.2853221595287323, 0.5110901594161987, 0.20358771085739136]",0.245,0.77,0.755,3,0.9,3,0.32,0.94,0,0,0.0,0,1.0,1,0.0,200,5
0,24,0,"[0.28532645106315613, 0.5110820531845093, 0.20359152555465698]",0.245,0.76,0.755,3,0.8400000000000001,3,0.285,0.78,0,0,0.0,0,1.0,1,0.0,200,5
0,25,1,"[0.2853245735168457, 0.5110856890678406, 0.20358975231647491]",0.245,0.75,0.755,3,0.78,3,0.22,0.98,0,0,0.0,0,1.0,1,0.0,200,5
0,26,0,"[0.2853335440158844, 0.5110688805580139, 0.2035975456237793]",0.245,0.74,0.755,3,0.72,3,0.415,0.36,0,0,0.0,0,1.0,1,5.4,200,5
0,27,2,"[0.285312294960022, 0.511108934879303, 0.20357882976531982]",0.785,0.73,0.215,2,0.66,2,0.895,0.34,0,0,0.0,0,1.0,1,0.0,200,5
0,28,1,"[0.285317599773407, 0.5110982656478882, 0.20358417928218842]",0.785,0.72,0.215,2,0.62,2,0.72,0.14,0,0,0.0,0,1.0,1,0.0,200,5
0,29,0,"[0.285322904586792, 0.5110878944396973, 0.20358918607234955]",0.785,0.71,0.215,2,0.5800000000000001,2,0.3,0.32,0,0,0.0,0,1.0,1,0.0,200,5
0,30,1,"[0.2853269577026367, 0.5110725164413452, 0.20360063016414642]",0.485,0.7,0.515,3,0.8400000000000001,3,0.05,0.54,1,0,0.0,0,1.0,1,0.0,200,5
0,31,1,"[0.2853130102157593, 0.5111017823219299, 0.20358523726463318]",0.485,0.69,0.515,3,0.78,3,0.165,1.0,1,1,0.0,0,1.0,1,0.0,200,5
0,32,0,"[0.2853098213672638, 0.5111092925071716, 0.20358093082904816]",0.485,0.68,0.515,3,0.72,3,0.81,0.6,1,1,0.0,0,1.0,1,0.0,200,5
0,33,1,"[0.28531184792518616, 0.5111084580421448, 0.2035796344280243]",0.485,0.67,0.515,3,0.66,3,0.96,0.48,0,1,0.0,0,1.0,1,0.0,200,5
0,34,1,"[0.2853202819824219, 0.5110915303230286, 0.20358817279338837]",0.485,0.66,0.515,3,0.6,3,0.73,0.14,0,1,0.0,0,1.0,1,0.0,200,5
0,35,1,"[0.285332590341568, 0.5110685229301453, 0.20359882712364197]",0.485,0.65,0.515,3,0.54,3,0.025,0.36,0,1,0.0,0,1.0,1,0.0,200,5
0,36,0,"[0.2853143811225891, 0.5111035704612732, 0.20358198881149292]",0.485,0.64,0.515,3,0.48000000000000004,3,0.41,0.96,0,1,0.0,0,1.0,1,0.0,200,5
0,37,1,"[0.28532323241233826, 0.5110831260681152, 0.20359358191490173]",0.075,0.63,0.9249999999999999,4,1.3599999999999999,4,0.815,0.26,1,1,0.0,0,1.0,1,0.0,200,5
0,38,0,"[0.2853274941444397, 0.5110759735107422, 0.20359651744365692]",0.075,0.62,0.9249999999999999,4,1.28,4,0.86,0.34,1,0,0.0,0,1.0,1,0.0,200,5
0,39,1,"[0.28532567620277405, 0.5110838413238525, 0.20359043776988983]",0.075,0.61,0.9249999999999999,4,1.2,4,0.65,0.86,0,0,0.0,0,1.0,1,0.0,200,5
0,40,0,"[0.28534403443336487, 0.5110514163970947, 0.2036045789718628]",0.075,0.6,0.9249999999999999,4,1.12,4,0.55,0.28,0,0,0.0,0,1.0,1,7.300000000000001,200,5
0,41,1,"[0.2853577435016632, 0.5110273957252502, 0.20361480116844177]",0.075,0.59,0.9249999999999999,4,1.04,4,0.07,0.48,0,0,0.0,0,1.0,1,0.0,200,5
0,42,1,"[0.285351425409317, 0.5110382437705994, 0.20361031591892242]",0.075,0.58,0.9249999999999999,4,0.96,4,0.285,0.12,0,1,0.0,0,1.0,1,0.65,200,5
0,43,1,"[0.2853419780731201, 0.5110504031181335, 0.20360755920410156]",0.14,0.57,0.8599999999999999,3,0.8799999999999999,3,0.105,0.44,0,1,0.0,0,1.0,1,1.5,200,5
0,44,1,"[0.2853294014930725, 0.5110704302787781, 0.2036001980304718]",0.29,0.56,0.71,2,0.8200000000000001,2,0.44,0.5,0,1,0.0,0,1.0,1,3.0,200,5
0,45,1,"[0.2853230834007263, 0.5110860466957092, 0.20359082520008087]",0.59,0.55,0.41,1,0.78,1,0.51,0.28,0,0,0.0,0,1.0,1,0.0,200,5
0,46,1,"[0.2853311598300934, 0.5110704898834229, 0.20359833538532257]",0.59,0.54,0.41,1,0.76,1,0.28,0.18,0,0,0.0,0,1.0,1,0.0,200,5
0,47,0,"[0.2853131890296936, 0.511106014251709, 0.20358073711395264]",0.59,0.53,0.41,1,0.74,1,0.565,0.94,0,0,0.0,0,1.0,1,2.85,200,5
0,48,1,"[0.2853398621082306, 0.5110415816307068, 0.20361857116222382]",0.025,0.52,0.9749999999999999,2,1.6400000000000001,2,0.48,0.4,1,0,0.0,0,1.0,1,0.0,200,5
0,49,1,"[0.2853514850139618, 0.5110177397727966, 0.2036307156085968]",0.025,0.51,0.9749999999999999,2,1.6,2,0.43,0.14,1,0,0.0,0,1.0,1,0.0,200,5
0,50,1,"[0.2853388786315918, 0.5110447406768799, 0.20361639559268951]",0.025,0.5,0.9749999999999999,2,1.56,2,0.875,0.06,1,0,0.0,0,1.0,1,0.0,200,5
0,51,1,"[0.28532281517982483, 0.5110785961151123, 0.20359863340854645]",0.025,0.49,0.9749999999999999,2,1.52,2,0.68,0.98,1,0,0.0,0,1.0,1,0.0,200,5
0,52,1,"[0.2853584587574005, 0.5110036134719849, 0.2036379724740982]",0.025,0.48,0.9749999999999999,2,1.48,2,0.205,0.28,1,0,0.0,0,1.0,1,7.4,200,5
0,53,0,"[0.28533002734184265, 0.5110636949539185, 0.20360630750656128]",0.025,0.47,0.9749999999999999,2,1.44,2,0.9,0.44,1,0,0.0,0,1.0,1,0.0,200,5
0,54,1,"[0.28534749150276184, 0.511035680770874, 0.20361687242984772]",0.025,0.46,0.9749999999999999,2,1.4,2,0.375,0.6,0,0,0.0,0,1.0,1,3.1500000000000004,200,5
0,55,1,"[0.2853600084781647, 0.5110124349594116, 0.2036275714635849]",0.025,0.45,0.9749999999999999,2,1.3599999999999999,2,0.265,0.42,0,0,0.0,0,1.0,1,7.050000000000001,200,5
0,56,1,"[0.28539469838142395, 0.5109509229660034, 0.2036544382572174]",0.025,0.44,0.9749999999999999,2,1.32,2,0.08,0.02,0,0,0.0,0,1.0,1,10.100000000000001,200,5
0,57,0,"[0.28539419174194336, 0.5109519958496094, 0.2036537379026413]",0.025,0.43,0.9749999999999999,2,1.28,2,0.07,0.06,0,0,0.0,0,1.0,1,0.0,200,5
0,58,1,"[0.2853659391403198, 0.511002242565155, 0.20363178849220276]",0.025,0.42,0.9749999999999999,2,1.24,2,0.225,0.4,0,0,0.0,0,1.0,1,0.0,200,5
0,59,1,"[0.2853397727012634, 0.51105135679245, 0.20360887050628662]",0.025,0.41,0.9749999999999999,2,1.2,2,0.86,0.42,0,0,0.0,0,1.0,1,0.0,200,5
