episode,step,action,distribution,available_computation_units,remain_epochs,mec_comp_units_sum,mec_comp_units_nonzero,mec_proc_times_sum,mec_proc_times_nonzero,queue_comp_units,queue_proc_times,local_success,offload_success,ctx_vel_sum,ctx_vel_nonzero,ctx_comp_sum,ctx_comp_nonzero,reward,env_max_comp_units,env_agent_velocities
0,0,0,"[0.8081201314926147, 0.19187983870506287, 2.6936071151340002e-08]",1.0,1.0,0.0,0,0.0,0,0.021505376344086023,0.6,0,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,1,0,"[0.28601986169815063, 0.7139801979064941, 1.1185366868837754e-11]",0.978494623655914,0.99,0.021505376344086023,1,0.5,1,1.7311827956989247,0.3,1,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,2,1,"[0.27441173791885376, 0.7255882620811462, 8.858594413574394e-12]",0.978494623655914,0.98,0.021505376344086023,1,0.4,1,0.4731182795698925,0.4,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,3,1,"[0.27447596192359924, 0.7255240678787231, 8.814799584699884e-12]",0.978494623655914,0.97,0.021505376344086023,1,0.3,1,0.5913978494623656,0.1,0,0,0.5571428537368774,1,0.7749999761581421,1,0.545,93,69
0,4,1,"[0.27303004264831543, 0.7269699573516846, 8.737095248678717e-12]",0.978494623655914,0.96,0.021505376344086023,1,0.2,1,1.3548387096774193,1.0,0,1,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,5,1,"[0.2733049690723419, 0.7266950011253357, 8.767455511593525e-12]",0.978494623655914,0.95,0.021505376344086023,1,0.1,1,1.5806451612903225,0.1,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.08,93,69
0,6,0,"[0.27251487970352173, 0.7274850606918335, 8.735384811331404e-12]",1.0,0.94,0.0,0,0.0,0,1.8279569892473118,1.0,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,7,1,"[0.2728807032108307, 0.7271192669868469, 8.753703491237719e-12]",1.0,0.93,0.0,0,0.0,0,1.1290322580645162,1.0,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,8,1,"[0.27427732944488525, 0.7257226705551147, 8.812958175730135e-12]",1.0,0.92,0.0,0,0.0,0,0.06451612903225806,0.6,0,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,9,1,"[0.27352964878082275, 0.7264702916145325, 8.754235183983106e-12]",1.0,0.91,0.0,0,0.0,0,1.3548387096774193,0.5,0,1,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,10,1,"[0.27306467294692993, 0.7269353270530701, 8.73924543842719e-12]",1.0,0.9,0.0,0,0.0,0,1.4301075268817205,0.8,0,1,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,11,0,"[0.2745705246925354, 0.7254294753074646, 8.822546859743596e-12]",1.0,0.89,0.0,0,0.0,0,0.043010752688172046,0.5,0,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,12,0,"[0.27391886711120605, 0.7260810732841492, 8.786035267382974e-12]",0.956989247311828,0.88,0.043010752688172046,1,0.4,1,0.043010752688172046,0.5,1,0,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,13,0,"[0.2737104892730713, 0.7262895107269287, 8.786294608542633e-12]",0.9139784946236559,0.87,0.08602150537634409,2,0.7,2,0.5376344086021505,0.1,1,0,0.5571428537368774,1,0.7749999761581421,1,1.7650000000000001,93,69
0,14,1,"[0.2729725241661072, 0.7270275354385376, 8.752566379999216e-12]",0.9139784946236559,0.86,0.08602150537634409,2,0.5,2,1.118279569892473,0.4,1,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,15,1,"[0.27229148149490356, 0.7277085185050964, 8.729605580071187e-12]",0.9139784946236559,0.85,0.08602150537634409,2,0.30000000000000004,2,1.6559139784946237,0.5,1,0,0.5571428537368774,1,0.7749999761581421,1,0.04,93,69
0,16,1,"[0.27195730805397034, 0.7280426621437073, 8.706171200634216e-12]",0.956989247311828,0.84,0.043010752688172046,1,0.1,1,1.5806451612903225,0.8,1,1,0.5571428537368774,1,0.7749999761581421,1,-0.06,93,69
0,17,0,"[0.272187739610672, 0.7278122305870056, 8.725106574736241e-12]",1.0,0.83,0.0,0,0.0,0,1.1505376344086022,1.0,1,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,18,1,"[0.27362367510795593, 0.7263763546943665, 8.785954602741342e-12]",1.0,0.82,0.0,0,0.0,0,1.3978494623655915,0.1,0,0,0.5571428537368774,1,0.7749999761581421,1,-0.1,93,69
0,19,1,"[0.27359333634376526, 0.7264066338539124, 8.770882457820317e-12]",1.0,0.81,0.0,0,0.0,0,1.946236559139785,0.1,0,0,0.5571428537368774,1,0.7749999761581421,1,3.3200000000000003,93,69
0,20,1,"[0.2732413411140442, 0.7267587184906006, 8.744641295799216e-12]",1.0,0.8,0.0,0,0.0,0,1.6451612903225807,0.7,0,1,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,21,0,"[0.2745272219181061, 0.7254727482795715, 8.813402264939985e-12]",1.0,0.79,0.0,0,0.0,0,0.22580645161290322,0.4,0,1,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
0,22,0,"[0.2738354504108429, 0.7261645793914795, 8.794305561554694e-12]",0.7741935483870968,0.78,0.22580645161290322,1,0.3,1,0.10752688172043011,0.4,1,1,0.5571428537368774,1,0.7749999761581421,1,0.0,93,69
